booking_id,user_id,session_id,search_id,booking_ts,route_id,airline_code,travel_date,booking_window_days,price,coupon_code,discount_amount,booking_status,payment_method,is_new_user_booking,user_segment,is_problem_period
BKG_000001,USR_00001,SES_0000001,SCH_0000001,2024-06-30 19:55:00,ROUTE_DEL-GOI,6E,2024-07-23,23,6398,,0,failed,UPI,False,returning_organic,False
BKG_000002,USR_00001,SES_0000003,SCH_0000003,2024-08-25 22:47:00,ROUTE_BLR-MYQ,6E,2024-09-13,19,8570,,0,abandoned,debit_card,False,returning_organic,True
BKG_000003,USR_00002,SES_0000010,SCH_0000011,2024-08-21 19:23:00,ROUTE_DEL-HYD,SG,2024-08-22,1,5161,MONSOON30,800,confirmed,debit_card,False,returning_organic,True
BKG_000004,USR_00003,SES_0000015,SCH_0000015,2024-07-03 22:10:00,ROUTE_BOM-COK,6E,2024-09-16,75,7309,SAVE500,400,confirmed,wallet,True,new_organic,True
BKG_000005,USR_00004,SES_0000019,SCH_0000016,2024-05-18 19:06:00,ROUTE_DEL-BLR,6E,2024-06-15,28,8058,,200,abandoned,debit_card,False,returning_organic,False
BKG_000006,USR_00004,SES_0000019,SCH_0000017,2024-05-18 19:09:00,ROUTE_BOM-HYD,AI,2024-05-27,9,7304,FLASH40,500,abandoned,UPI,False,returning_organic,False
BKG_000007,USR_00006,SES_0000025,SCH_0000021,2024-08-15 14:29:00,ROUTE_BOM-BLR,AI,2024-08-16,1,4954,FIRST200,500,abandoned,debit_card,False,returning_organic,True
BKG_000008,USR_00009,SES_0000037,SCH_0000032,2024-07-28 10:17:00,ROUTE_DEL-BLR,AI,2024-08-08,11,7083,,0,abandoned,credit_card,False,returning_organic,True
BKG_000009,USR_00009,SES_0000040,SCH_0000034,2024-07-09 18:12:00,ROUTE_DEL-BOM,6E,2024-07-14,5,8472,MONSOON30,600,confirmed,netbanking,False,returning_organic,True
BKG_000010,USR_00010,SES_0000043,SCH_0000036,2024-08-30 11:41:00,ROUTE_JAI-DEL,AI,2024-09-11,12,6547,,0,confirmed,credit_card,False,returning_organic,True
