exposure_id,experiment_id,experiment_name,user_id,variant,exposure_ts,platform,app_version,expected_effect
EXP_0000001,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04632,treatment,2024-06-24 00:00:00,android_app,8.4.1,small_negative
EXP_0000002,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03870,treatment,2024-07-01 00:00:00,android_app,8.4.0,small_negative
EXP_0000003,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03689,treatment,2024-07-04 00:00:00,android_app,8.4.1,small_negative
EXP_0000004,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04627,control,2024-06-30 00:00:00,android_app,8.4.0,small_negative
EXP_0000005,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04600,treatment,2024-07-01 00:00:00,ios_app,8.4.1,small_negative
EXP_0000006,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04062,treatment,2024-06-24 00:00:00,ios_app,8.4.0,small_negative
EXP_0000007,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03850,control,2024-07-02 00:00:00,android_app,8.4.1,small_negative
EXP_0000008,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03343,treatment,2024-07-02 00:00:00,android_app,8.4.0,small_negative
EXP_0000009,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04796,treatment,2024-06-25 00:00:00,ios_app,8.4.1,small_negative
EXP_0000010,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04685,treatment,2024-07-04 00:00:00,android_app,8.4.1,small_negative
EXP_0000011,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_00657,treatment,2024-06-27 00:00:00,ios_app,8.4.1,small_negative
EXP_0000012,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03364,treatment,2024-06-30 00:00:00,ios_app,8.4.1,small_negative
EXP_0000013,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04371,control,2024-07-04 00:00:00,ios_app,8.4.1,small_negative
EXP_0000014,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04319,treatment,2024-07-07 00:00:00,android_app,8.4.0,small_negative
EXP_0000015,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03432,control,2024-06-25 00:00:00,android_app,8.4.1,small_negative
EXP_0000016,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04907,control,2024-06-25 00:00:00,android_app,8.4.0,small_negative
EXP_0000017,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03212,control,2024-06-25 00:00:00,android_app,8.4.1,small_negative
EXP_0000018,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03344,control,2024-07-04 00:00:00,ios_app,8.4.0,small_negative
EXP_0000019,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03807,treatment,2024-06-29 00:00:00,ios_app,8.4.1,small_negative
EXP_0000020,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04488,control,2024-06-26 00:00:00,ios_app,8.4.1,small_negative
EXP_0000021,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04959,treatment,2024-06-30 00:00:00,android_app,8.4.1,small_negative
EXP_0000022,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03623,control,2024-07-07 00:00:00,android_app,8.4.1,small_negative
EXP_0000023,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_02281,treatment,2024-07-07 00:00:00,ios_app,8.4.0,small_negative
EXP_0000024,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_02976,control,2024-07-06 00:00:00,android_app,8.4.1,small_negative
EXP_0000025,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04304,treatment,2024-06-29 00:00:00,android_app,8.4.1,small_negative
EXP_0000026,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04639,control,2024-06-25 00:00:00,android_app,8.4.0,small_negative
EXP_0000027,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03615,treatment,2024-06-28 00:00:00,ios_app,8.4.0,small_negative
EXP_0000028,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03645,treatment,2024-06-28 00:00:00,android_app,8.4.0,small_negative
EXP_0000029,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03305,treatment,2024-06-28 00:00:00,android_app,8.4.1,small_negative
EXP_0000030,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04042,control,2024-07-06 00:00:00,android_app,8.4.1,small_negative
EXP_0000031,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04529,treatment,2024-06-27 00:00:00,android_app,8.4.0,small_negative
EXP_0000032,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04133,treatment,2024-06-29 00:00:00,android_app,8.4.1,small_negative
EXP_0000033,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04057,treatment,2024-07-04 00:00:00,android_app,8.4.0,small_negative
EXP_0000034,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04813,control,2024-06-30 00:00:00,android_app,8.4.1,small_negative
EXP_0000035,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04760,control,2024-07-03 00:00:00,android_app,8.4.0,small_negative
EXP_0000036,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04689,treatment,2024-06-27 00:00:00,android_app,8.4.0,small_negative
EXP_0000037,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03713,treatment,2024-06-26 00:00:00,ios_app,8.4.1,small_negative
EXP_0000038,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04859,control,2024-06-27 00:00:00,ios_app,8.4.1,small_negative
EXP_0000039,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03620,treatment,2024-06-28 00:00:00,android_app,8.4.0,small_negative
EXP_0000040,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04552,control,2024-06-24 00:00:00,ios_app,8.4.0,small_negative
EXP_0000041,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04621,treatment,2024-07-03 00:00:00,android_app,8.4.1,small_negative
EXP_0000042,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04124,control,2024-07-07 00:00:00,android_app,8.4.1,small_negative
EXP_0000043,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_00690,treatment,2024-06-27 00:00:00,android_app,8.4.0,small_negative
EXP_0000044,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04637,control,2024-07-04 00:00:00,android_app,8.4.1,small_negative
EXP_0000045,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03452,treatment,2024-07-03 00:00:00,android_app,8.4.1,small_negative
EXP_0000046,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04448,control,2024-06-28 00:00:00,android_app,8.4.0,small_negative
EXP_0000047,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04872,treatment,2024-07-03 00:00:00,android_app,8.4.1,small_negative
EXP_0000048,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04779,treatment,2024-06-29 00:00:00,android_app,8.4.1,small_negative
EXP_0000049,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03289,control,2024-06-29 00:00:00,android_app,8.4.0,small_negative
EXP_0000050,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03888,control,2024-06-27 00:00:00,ios_app,8.4.0,small_negative
EXP_0000051,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03523,control,2024-06-29 00:00:00,android_app,8.4.1,small_negative
EXP_0000052,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03421,treatment,2024-06-28 00:00:00,android_app,8.4.0,small_negative
EXP_0000053,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04897,control,2024-06-27 00:00:00,android_app,8.4.0,small_negative
EXP_0000054,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04452,treatment,2024-06-25 00:00:00,ios_app,8.4.1,small_negative
EXP_0000055,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03365,treatment,2024-06-30 00:00:00,android_app,8.4.1,small_negative
EXP_0000056,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03899,treatment,2024-06-28 00:00:00,android_app,8.4.1,small_negative
EXP_0000057,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04013,control,2024-06-29 00:00:00,ios_app,8.4.1,small_negative
EXP_0000058,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_01791,control,2024-06-25 00:00:00,android_app,8.4.1,small_negative
EXP_0000059,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04874,control,2024-06-29 00:00:00,android_app,8.4.0,small_negative
EXP_0000060,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_01166,treatment,2024-06-29 00:00:00,android_app,8.4.1,small_negative
EXP_0000061,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04569,control,2024-06-29 00:00:00,android_app,8.4.1,small_negative
EXP_0000062,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04902,treatment,2024-07-03 00:00:00,android_app,8.4.1,small_negative
EXP_0000063,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04431,treatment,2024-07-06 00:00:00,android_app,8.4.0,small_negative
EXP_0000064,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03830,treatment,2024-06-25 00:00:00,android_app,8.4.0,small_negative
EXP_0000065,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03750,treatment,2024-07-01 00:00:00,android_app,8.4.1,small_negative
EXP_0000066,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04225,control,2024-07-06 00:00:00,android_app,8.4.1,small_negative
EXP_0000067,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04329,control,2024-06-27 00:00:00,android_app,8.4.0,small_negative
EXP_0000068,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04784,treatment,2024-07-03 00:00:00,android_app,8.4.1,small_negative
EXP_0000069,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_00480,treatment,2024-07-03 00:00:00,ios_app,8.4.0,small_negative
EXP_0000070,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03356,control,2024-07-06 00:00:00,android_app,8.4.0,small_negative
EXP_0000071,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03824,control,2024-06-24 00:00:00,android_app,8.4.1,small_negative
EXP_0000072,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04878,control,2024-07-04 00:00:00,android_app,8.4.0,small_negative
EXP_0000073,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_02224,control,2024-06-25 00:00:00,android_app,8.4.0,small_negative
EXP_0000074,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03651,treatment,2024-06-27 00:00:00,android_app,8.4.1,small_negative
EXP_0000075,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03543,treatment,2024-07-05 00:00:00,android_app,8.4.1,small_negative
EXP_0000076,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04990,treatment,2024-06-28 00:00:00,android_app,8.4.1,small_negative
EXP_0000077,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03904,control,2024-07-06 00:00:00,ios_app,8.4.1,small_negative
EXP_0000078,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04858,treatment,2024-06-26 00:00:00,android_app,8.4.0,small_negative
EXP_0000079,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_02067,control,2024-06-27 00:00:00,android_app,8.4.0,small_negative
EXP_0000080,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03660,control,2024-07-01 00:00:00,ios_app,8.4.0,small_negative
EXP_0000081,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03719,treatment,2024-07-02 00:00:00,android_app,8.4.1,small_negative
EXP_0000082,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04547,control,2024-07-01 00:00:00,android_app,8.4.1,small_negative
EXP_0000083,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03250,treatment,2024-07-03 00:00:00,android_app,8.4.0,small_negative
EXP_0000084,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04747,treatment,2024-06-25 00:00:00,android_app,8.4.1,small_negative
EXP_0000085,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04482,control,2024-06-25 00:00:00,android_app,8.4.1,small_negative
EXP_0000086,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03826,control,2024-06-30 00:00:00,android_app,8.4.0,small_negative
EXP_0000087,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04500,treatment,2024-06-24 00:00:00,android_app,8.4.1,small_negative
EXP_0000088,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04012,treatment,2024-06-27 00:00:00,android_app,8.4.1,small_negative
EXP_0000089,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04217,control,2024-06-29 00:00:00,android_app,8.4.1,small_negative
EXP_0000090,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03759,control,2024-07-07 00:00:00,android_app,8.4.0,small_negative
EXP_0000091,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03935,treatment,2024-07-01 00:00:00,android_app,8.4.1,small_negative
EXP_0000092,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03872,treatment,2024-06-30 00:00:00,ios_app,8.4.1,small_negative
EXP_0000093,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03939,treatment,2024-07-06 00:00:00,ios_app,8.4.0,small_negative
EXP_0000094,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_02235,control,2024-07-03 00:00:00,android_app,8.4.1,small_negative
EXP_0000095,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03659,treatment,2024-07-02 00:00:00,android_app,8.4.1,small_negative
EXP_0000096,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03950,treatment,2024-07-02 00:00:00,android_app,8.4.0,small_negative
EXP_0000097,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03915,control,2024-06-24 00:00:00,android_app,8.4.1,small_negative
EXP_0000098,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_00908,control,2024-07-07 00:00:00,android_app,8.4.1,small_negative
EXP_0000099,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04429,treatment,2024-06-25 00:00:00,android_app,8.4.0,small_negative
EXP_0000100,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03698,treatment,2024-07-01 00:00:00,ios_app,8.4.0,small_negative
EXP_0000101,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_02674,treatment,2024-06-28 00:00:00,android_app,8.4.1,small_negative
EXP_0000102,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03922,treatment,2024-07-03 00:00:00,ios_app,8.4.1,small_negative
EXP_0000103,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03767,treatment,2024-06-28 00:00:00,android_app,8.4.0,small_negative
EXP_0000104,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03414,treatment,2024-06-27 00:00:00,android_app,8.4.0,small_negative
EXP_0000105,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03472,control,2024-07-07 00:00:00,android_app,8.4.1,small_negative
EXP_0000106,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03681,treatment,2024-07-06 00:00:00,ios_app,8.4.1,small_negative
EXP_0000107,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03071,treatment,2024-06-25 00:00:00,ios_app,8.4.0,small_negative
EXP_0000108,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03720,treatment,2024-06-24 00:00:00,android_app,8.4.0,small_negative
EXP_0000109,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04246,treatment,2024-07-02 00:00:00,android_app,8.4.0,small_negative
EXP_0000110,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03643,treatment,2024-06-29 00:00:00,android_app,8.4.1,small_negative
EXP_0000111,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03986,control,2024-07-06 00:00:00,android_app,8.4.0,small_negative
EXP_0000112,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04516,control,2024-07-01 00:00:00,ios_app,8.4.0,small_negative
EXP_0000113,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03259,control,2024-07-05 00:00:00,ios_app,8.4.1,small_negative
EXP_0000114,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04184,treatment,2024-06-25 00:00:00,android_app,8.4.0,small_negative
EXP_0000115,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03909,control,2024-07-03 00:00:00,android_app,8.4.1,small_negative
EXP_0000116,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_00346,treatment,2024-06-24 00:00:00,android_app,8.4.1,small_negative
EXP_0000117,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04496,treatment,2024-06-27 00:00:00,android_app,8.4.0,small_negative
EXP_0000118,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04822,control,2024-07-06 00:00:00,ios_app,8.4.0,small_negative
EXP_0000119,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04072,control,2024-06-30 00:00:00,android_app,8.4.1,small_negative
EXP_0000120,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03471,treatment,2024-06-30 00:00:00,ios_app,8.4.0,small_negative
EXP_0000121,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04434,treatment,2024-07-05 00:00:00,android_app,8.4.1,small_negative
EXP_0000122,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03886,treatment,2024-07-02 00:00:00,ios_app,8.4.1,small_negative
EXP_0000123,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_03564,treatment,2024-07-01 00:00:00,android_app,8.4.1,small_negative
EXP_0000124,EXP_PAYMENT_UI_V2,Payment Method Selector Redesign,USR_04567,control,2024-07-07 00:00:00,android_app,8.4.1,small_negative
