search_id,session_id,user_id,search_ts,origin_code,destination_code,travel_date,booking_window_days,trip_type,pax_count,results_returned,pmt_cheapest_price,competitor_cheapest_price,price_gap_pct,had_listing_click,route_id,user_segment,is_problem_period
SCH_0000001,SES_0000001,USR_00001,2024-06-30 19:52:00,DEL,GOI,2024-07-23,23,oneway,3,12,6398,6145.0,0.041,True,ROUTE_DEL-GOI,returning_organic,False
SCH_0000002,SES_0000001,USR_00001,2024-06-30 19:52:00,BOM,HYD,2024-07-07,7,roundtrip,1,16,4247,4108.0,0.034,False,ROUTE_BOM-HYD,returning_organic,False
SCH_0000003,SES_0000003,USR_00001,2024-08-25 22:45:00,BLR,MYQ,2024-09-13,19,oneway,1,12,8570,8910.0,-0.038,True,ROUTE_BLR-MYQ,returning_organic,True
SCH_0000004,SES_0000004,USR_00001,2024-05-30 11:45:00,BLR,MYQ,2024-07-16,47,roundtrip,2,10,6063,,,False,ROUTE_BLR-MYQ,returning_organic,False
SCH_0000005,SES_0000004,USR_00001,2024-05-30 11:50:00,DEL,BLR,2024-06-11,12,oneway,1,7,5691,5653.0,0.007,False,ROUTE_DEL-BLR,returning_organic,False
SCH_0000006,SES_0000006,USR_00002,2024-08-26 14:38:00,BOM,HYD,2024-09-05,10,oneway,1,6,4382,4542.0,-0.035,True,ROUTE_BOM-HYD,returning_organic,True
SCH_0000007,SES_0000006,USR_00002,2024-08-26 14:39:00,BOM,HYD,2024-09-12,17,roundtrip,2,5,6949,7019.0,-0.01,True,ROUTE_BOM-HYD,returning_organic,True
SCH_0000008,SES_0000007,USR_00002,2024-07-24 11:03:00,DEL,BOM,2024-09-20,58,roundtrip,1,17,8650,7889.0,0.096,True,ROUTE_DEL-BOM,returning_organic,True
SCH_0000009,SES_0000008,USR_00002,2024-06-10 12:43:00,DEL,HYD,2024-06-14,4,roundtrip,1,14,8081,8397.0,-0.038,True,ROUTE_DEL-HYD,returning_organic,False
SCH_0000010,SES_0000009,USR_00002,2024-07-09 13:18:00,BOM,BLR,2024-07-11,2,oneway,1,10,7779,6781.0,0.147,False,ROUTE_BOM-BLR,returning_organic,True
