user_id,registration_date,acquisition_channel,origin_city_code,city_tier,device_type,app_version_at_registration,is_corporate,total_bookings_lifetime,first_booking_date,last_booking_date,user_segment,period
USR_00001,2024-05-21,returning_direct,DEL,tier1,android,8.3.2,False,6,2023-06-11,2024-03-13,returning_organic,pre
USR_00002,2024-06-10,email_push,CCU,tier1,android,8.2.1,False,3,2023-10-09,2024-03-23,returning_organic,pre
USR_00003,2024-05-18,paid_search,BLR,tier1,android,8.2.1,False,0,,,new_organic,pre
USR_00004,2024-04-19,returning_direct,,tier1,web,,False,8,2023-05-14,2024-01-31,returning_organic,pre
USR_00005,2024-04-06,organic_search,JAI,tier2,ios,8.3.0,False,3,2023-07-13,2024-03-26,returning_organic,pre
USR_00006,2024-06-23,organic_search,SXR,tier3,android,8.3.2,False,8,2023-10-11,2024-05-30,returning_organic,pre
USR_00007,2024-04-27,organic_search,CCU,tier1,android,8.2.1,False,5,2024-01-18,2024-03-27,returning_organic,pre
USR_00008,2024-05-23,paid_social,,tier3,android,8.2.1,False,1,2024-01-01,2024-03-29,new_organic,pre
USR_00009,2024-05-18,returning_direct,CCU,tier1,android,8.2.1,False,8,2023-07-03,2024-03-28,returning_organic,pre
USR_00010,2024-04-07,paid_search,VTZ,tier2,android,8.3.0,False,5,2023-05-10,2024-02-28,returning_organic,pre
USR_00011,2024-05-29,organic_search,,tier1,android,8.3.2,False,8,2024-01-13,2024-03-08,returning_organic,pre
USR_00012,2024-06-08,email_push,BHO,tier2,ios,8.3.2,False,6,2023-11-10,2024-03-23,returning_organic,pre
USR_00013,2024-04-11,paid_social,MAA,tier1,ios,8.3.0,False,0,,,new_organic,pre
USR_00014,2024-04-15,organic_search,DEL,tier1,android,8.2.1,False,1,2023-11-03,2024-03-31,new_organic,pre
USR_00015,2024-06-03,organic_search,IXC,tier2,android,8.2.1,False,0,,,new_organic,pre
USR_00016,2024-04-03,organic_search,HYD,tier1,ios,8.3.0,False,0,,,new_organic,pre
USR_00017,2024-06-08,organic_search,LKO,tier2,ios,8.2.1,False,6,2023-11-02,2024-03-15,returning_organic,pre
USR_00018,2024-04-23,returning_direct,HYD,tier1,android,8.3.2,True,7,2023-12-01,2024-02-17,corporate,pre
USR_00019,2024-05-23,returning_direct,GAU,tier3,web,,False,6,2023-06-18,2024-02-25,returning_organic,pre
USR_00020,2024-05-07,organic_search,BBI,tier3,ios,8.2.1,False,2,2024-01-05,2024-02-15,returning_organic,pre
USR_00021,2024-04-09,returning_direct,NAG,tier2,android,8.3.0,False,5,2024-01-02,2024-03-27,returning_organic,pre
USR_00022,2024-04-15,organic_search,NAG,tier2,android,8.2.1,False,4,2024-01-20,2024-01-17,returning_organic,pre
USR_00023,2024-04-03,organic_search,IXC,tier2,web,,False,3,2024-01-18,2024-03-29,returning_organic,pre
USR_00024,2024-06-09,returning_direct,HYD,tier1,android,8.2.1,False,6,2024-02-27,2024-03-21,returning_organic,pre
USR_00025,2024-04-17,returning_direct,BLR,tier1,android,8.2.1,False,2,2023-07-14,2024-02-14,returning_organic,pre
USR_00026,2024-04-26,paid_search,CCU,tier1,ios,8.2.1,False,1,2024-01-17,2024-02-01,new_organic,pre
USR_00027,2024-04-21,organic_search,CCU,tier1,ios,8.3.0,False,1,2023-12-16,2024-03-11,new_organic,pre
USR_00028,2024-06-11,returning_direct,BLR,tier1,ios,8.3.2,False,3,2023-12-25,2024-04-24,returning_organic,pre
USR_00029,2024-04-21,returning_direct,HYD,tier1,ios,8.3.2,False,5,2023-07-29,2024-04-15,returning_organic,pre
USR_00030,2024-04-11,organic_search,BBI,tier3,android,8.3.0,False,0,,,new_organic,pre
USR_00031,2024-05-08,returning_direct,MAA,tier1,web,,False,6,2024-03-26,2024-04-10,returning_organic,pre
USR_00032,2024-06-11,organic_search,MAA,tier1,android,8.2.1,False,5,2023-10-30,2024-04-29,returning_organic,pre
USR_00033,2024-06-27,organic_search,HYD,tier1,ios,8.4.0,False,2,2023-11-03,2024-05-18,new_organic,pre
USR_00034,2024-05-05,email_push,VTZ,tier2,android,8.3.2,False,5,2023-12-05,2024-03-09,returning_organic,pre
USR_00035,2024-04-14,email_push,MAA,tier1,android,8.2.1,False,6,2023-08-24,2024-02-21,returning_organic,pre
USR_00036,2024-04-14,paid_social,HYD,tier1,android,8.3.2,False,1,2023-08-17,2024-01-27,new_organic,pre
USR_00037,2024-04-10,organic_search,DEL,tier1,android,8.3.0,False,3,2023-07-31,2024-02-25,returning_organic,pre
USR_00038,2024-04-12,organic_search,DEL,tier1,web,,False,2,2023-07-15,2024-02-18,new_organic,pre
USR_00039,2024-05-08,paid_search,IXB,tier3,android,8.2.1,False,2,2023-09-07,2024-03-25,returning_organic,pre
USR_00040,2024-05-04,returning_direct,CCU,tier1,android,8.3.2,False,4,2023-11-02,2024-03-19,returning_organic,pre
USR_00041,2024-05-11,organic_search,DEL,tier1,android,8.3.2,False,5,2024-01-10,2024-02-12,returning_organic,pre
USR_00042,2024-04-10,returning_direct,CJB,tier2,android,8.2.1,False,8,2024-02-17,2024-03-27,returning_organic,pre
USR_00043,2024-04-17,organic_search,MAA,tier1,android,8.3.0,False,6,2024-01-03,2024-03-13,returning_organic,pre
USR_00044,2024-04-17,email_push,MAA,tier1,web,,False,6,2023-07-19,2024-03-15,returning_organic,pre
USR_00045,2024-06-06,organic_search,CJB,tier2,android,8.3.2,False,4,2024-02-03,2024-04-14,returning_organic,pre
USR_00046,2024-06-01,paid_search,IXC,tier2,android,8.3.0,False,0,,,new_organic,pre
USR_00047,2024-04-01,organic_search,BBI,tier3,ios,8.2.1,False,2,2023-07-11,2024-02-14,new_organic,pre
USR_00048,2024-04-12,returning_direct,BLR,tier1,android,8.3.0,False,5,2023-11-16,2024-01-19,returning_organic,pre
USR_00049,2024-04-04,returning_direct,,tier1,android,8.2.1,False,2,2024-02-10,2024-03-21,returning_organic,pre
USR_00050,2024-05-12,organic_search,JAI,tier2,android,8.2.1,False,3,2023-05-25,2024-03-21,returning_organic,pre
USR_00051,2024-04-13,email_push,VNS,tier3,android,8.3.2,False,6,2023-07-27,2024-04-07,returning_organic,pre
USR_00052,2024-06-24,paid_search,CJB,tier2,android,8.4.0,False,5,2024-01-04,2024-05-07,returning_organic,pre
USR_00053,2024-06-25,email_push,HYD,tier1,android,8.4.0,False,8,2024-04-30,2024-03-31,returning_organic,pre
USR_00054,2024-04-04,email_push,DEL,tier1,ios,8.3.2,False,6,2024-01-23,2024-03-29,returning_organic,pre
USR_00055,2024-06-21,returning_direct,MAA,tier1,web,,False,4,2023-09-11,2024-06-20,returning_organic,pre
USR_00056,2024-06-08,email_push,GOP,tier3,android,8.2.1,False,4,2023-10-11,2024-05-12,returning_organic,pre
USR_00057,2024-04-19,organic_search,JAI,tier2,android,8.3.2,False,8,2023-05-15,2024-03-28,returning_organic,pre
USR_00058,2024-04-02,organic_search,CJB,tier2,android,8.3.0,False,2,2023-06-18,2024-01-06,new_organic,pre
USR_00059,2024-04-12,organic_search,IXC,tier2,android,8.3.0,False,0,,,new_organic,pre
USR_00060,2024-06-20,returning_direct,MAA,tier1,web,,False,8,2023-07-07,2024-05-30,returning_organic,pre
USR_00061,2024-06-13,returning_direct,DEL,tier1,android,8.2.1,False,3,2024-01-07,2024-06-12,returning_organic,pre
USR_00062,2024-04-06,organic_search,CCU,tier1,android,8.3.0,False,2,2023-06-29,2024-04-06,new_organic,pre
USR_00063,2024-04-08,paid_social,IXC,tier2,ios,8.3.0,False,2,2023-12-05,2024-01-11,new_organic,pre
USR_00064,2024-05-21,returning_direct,BLR,tier1,android,8.2.1,False,7,2023-11-08,2024-04-17,returning_organic,pre
USR_00065,2024-04-11,organic_search,LKO,tier2,ios,8.3.2,False,4,2023-06-07,2024-01-26,returning_organic,pre
USR_00066,2024-06-02,returning_direct,DEL,tier1,android,8.3.2,False,2,2024-05-03,2024-04-04,returning_organic,pre
USR_00067,2024-05-27,organic_search,BHO,tier2,android,8.3.0,False,5,2023-11-18,2024-05-03,returning_organic,pre
USR_00068,2024-04-12,paid_social,BOM,tier1,web,,False,1,2023-06-13,2024-02-14,new_organic,pre
USR_00069,2024-06-12,organic_search,GOP,tier3,android,8.3.2,False,7,2024-04-21,2024-03-23,returning_organic,pre
USR_00070,2024-04-02,referral,GAU,tier3,android,8.3.0,False,2,2023-12-28,2024-03-27,new_organic,pre
USR_00071,2024-04-08,paid_search,BLR,tier1,android,8.2.1,False,2,2023-04-12,2024-02-26,new_organic,pre
USR_00072,2024-04-11,organic_search,VTZ,tier2,android,8.3.0,False,2,2023-12-03,2024-03-04,new_organic,pre
USR_00073,2024-05-23,organic_search,DEL,tier1,android,8.3.0,False,4,2024-01-25,2024-03-18,returning_organic,pre
USR_00074,2024-04-10,paid_social,VNS,tier3,android,8.2.1,False,2,2023-06-20,2024-01-16,new_organic,pre
USR_00075,2024-06-24,paid_search,CCU,tier1,ios,8.3.2,False,0,,,new_organic,pre
USR_00076,2024-06-23,paid_search,MAA,tier1,ios,8.2.1,False,1,2023-10-11,2024-06-05,new_organic,pre
USR_00077,2024-04-08,paid_search,MAA,tier1,web,,False,2,2023-05-28,2024-03-10,returning_organic,pre
USR_00078,2024-05-06,organic_search,JAI,tier2,android,8.2.1,False,1,2024-01-07,2024-02-25,new_organic,pre
USR_00079,2024-06-15,returning_direct,HYD,tier1,android,8.2.1,False,2,2024-04-04,2024-06-08,returning_organic,pre
USR_00080,2024-04-14,organic_search,BLR,tier1,android,8.2.1,False,7,2023-11-22,2024-01-30,returning_organic,pre
USR_00081,2024-05-24,paid_social,BLR,tier1,android,8.3.2,False,0,,,new_organic,pre
USR_00082,2024-06-24,paid_search,ATQ,tier2,web,,False,7,2024-03-20,2024-05-20,returning_organic,pre
USR_00083,2024-06-25,returning_direct,VTZ,tier2,ios,8.4.0,True,8,2023-12-20,2024-05-31,corporate,pre
USR_00084,2024-04-21,organic_search,MAA,tier1,ios,8.3.2,False,7,2023-08-23,2024-02-23,returning_organic,pre
USR_00085,2024-05-20,organic_search,CCU,tier1,android,8.3.0,False,3,2023-09-02,2024-05-07,returning_organic,pre
USR_00086,2024-05-09,returning_direct,,tier1,ios,8.3.2,False,5,2023-06-12,2024-05-02,returning_organic,pre
USR_00087,2024-04-20,paid_search,MAA,tier1,web,,False,3,2023-10-14,2024-02-29,returning_organic,pre
USR_00088,2024-06-27,paid_search,HYD,tier1,android,8.3.2,False,2,2023-10-31,2024-05-15,returning_organic,pre
USR_00089,2024-06-26,email_push,BOM,tier1,ios,8.4.0,False,7,2024-05-08,2024-06-13,returning_organic,pre
USR_00090,2024-04-07,returning_direct,HYD,tier1,android,8.3.0,False,6,2023-12-22,2024-02-24,returning_organic,pre
USR_00091,2024-04-09,organic_search,NAG,tier2,ios,8.3.2,False,2,2024-02-16,2024-01-15,new_organic,pre
USR_00092,2024-04-01,paid_search,GOP,tier3,android,8.2.1,False,4,2023-08-18,2024-01-05,returning_organic,pre
