attempt_id,view_id,user_id,checkout_price,price_delta_pct,abandoned,abandonment_reason,week_number
ATT0000001,VEW0006300,USR002991,14483.74,-0.0079,False,,16
ATT0000002,VEW0002770,USR001969,25011.34,-0.0033,False,,10
ATT0000003,VEW0002797,USR003963,28210.95,0.0179,False,,18
ATT0000004,VEW0005728,USR000766,6212.85,0.0072,False,,6
ATT0000005,VEW0007546,USR001384,14232.52,0.0032,False,,21
ATT0000006,VEW0002495,USR000485,6778.01,0.2525,False,,17
ATT0000007,VEW0009719,USR002895,3089.07,-0.006,False,,11
ATT0000008,VEW0014971,USR002673,3736.37,0.0021,True,,9
ATT0000009,VEW0003825,USR003521,2187.92,0.3399,False,,17
ATT0000010,VEW0011325,USR002031,7854.52,0.2263,True,price_shock,18
ATT0000011,VEW0006149,USR002648,20119.49,0.0197,False,,7
ATT0000012,VEW0003400,USR000379,21241.88,-0.0038,False,,7
ATT0000013,VEW0008443,USR003050,9053.39,0.2731,True,price_shock,22
ATT0000014,VEW0002032,USR003356,15799.96,-0.0086,False,,12
ATT0000015,VEW0007994,USR000682,4808.86,0.0075,False,,14
ATT0000016,VEW0003719,USR000830,4782.5,0.0045,False,,11
ATT0000017,VEW0012271,USR003904,3929.54,0.01,False,,4
ATT0000018,VEW0007646,USR002759,7488.99,0.2905,True,price_shock,18
ATT0000019,VEW0009101,USR003044,5670.54,0.2718,True,price_shock,26
ATT0000020,VEW0001280,USR003196,17629.04,0.3159,True,price_shock,24
ATT0000021,VEW0008891,USR002924,2113.08,-0.0093,False,,18
ATT0000022,VEW0003903,USR002414,8021.38,0.0062,False,,6
ATT0000023,VEW0000088,USR000200,2755.21,0.2348,True,price_shock,23
ATT0000024,VEW0012913,USR003176,4859.92,0.2767,True,price_shock,26
ATT0000025,VEW0008456,USR002875,4201.44,0.0137,False,,18
ATT0000026,VEW0001955,USR001344,3105.2,-0.0057,False,,10
ATT0000027,VEW0001863,USR000954,3913.37,0.3417,True,price_shock,21
ATT0000028,VEW0000667,USR003489,17421.16,0.0167,False,,20
ATT0000029,VEW0004824,USR000496,7890.21,0.0024,False,,4
ATT0000030,VEW0014901,USR003444,13354.65,-0.0098,False,,22
ATT0000031,VEW0003076,USR000200,3907.56,0.0137,True,timeout,24
ATT0000032,VEW0008113,USR000336,6869.27,0.0164,False,,2
ATT0000033,VEW0014442,USR001330,4300.47,-0.0048,True,error,4
ATT0000034,VEW0003094,USR000207,4240.63,0.0175,False,,12
ATT0000035,VEW0011681,USR003254,12148.3,0.3388,True,price_shock,20
ATT0000036,VEW0014255,USR001064,5314.07,0.2813,True,price_shock,23
ATT0000037,VEW0008731,USR002436,39245.57,0.0139,False,,23
ATT0000038,VEW0007925,USR003602,9266.96,0.0033,False,,23
ATT0000039,VEW0008803,USR001112,5012.72,0.0069,False,,18
ATT0000040,VEW0008874,USR002462,33491.23,-0.0004,False,,22
