booking_id,attempt_id,user_id,hotel_id,booking_value,platform_commission_pct,revenue,week_number,is_domestic
BKG0000001,ATT0003641,USR001630,HTL0014,4945.99,0.1539,761.41,9,True
BKG0000002,ATT0003537,USR001306,HTL0075,7834.61,0.1179,923.71,17,True
BKG0000003,ATT0003689,USR001726,HTL0108,9757.76,0.1212,1182.4,11,False
BKG0000004,ATT0005694,USR003651,HTL0013,3506.12,0.1117,391.61,2,True
BKG0000005,ATT0000474,USR000505,HTL0006,3010.0,0.1246,375.01,13,True
BKG0000006,ATT0005612,USR003189,HTL0045,3012.09,0.1119,337.07,8,True
BKG0000007,ATT0000534,USR000369,HTL0112,15742.36,0.1171,1842.89,6,False
BKG0000008,ATT0000225,USR002121,HTL0095,23831.94,0.1154,2751.29,23,False
BKG0000009,ATT0003485,USR001794,HTL0093,34416.96,0.1473,5068.04,12,False
BKG0000010,ATT0000710,USR000028,HTL0109,15237.48,0.1087,1656.63,20,False
BKG0000011,ATT0003167,USR001715,HTL0035,2395.02,0.14,335.34,15,True
BKG0000012,ATT0002260,USR002856,HTL0060,3381.02,0.0962,325.37,26,True
BKG0000013,ATT0002493,USR000094,HTL0077,3876.87,0.1258,487.86,14,True
BKG0000014,ATT0000886,USR002655,HTL0093,13624.79,0.1185,1614.75,17,False
BKG0000015,ATT0000272,USR001616,HTL0059,5436.23,0.1282,697.17,7,True
BKG0000016,ATT0000021,USR002924,HTL0038,2113.08,0.104,219.66,18,True
BKG0000017,ATT0001677,USR000899,HTL0108,20729.71,0.1197,2481.34,7,False
BKG0000018,ATT0003578,USR002297,HTL0059,7996.48,0.1397,1117.44,8,True
BKG0000019,ATT0004222,USR003386,HTL0103,17025.13,0.1224,2083.56,20,False
BKG0000020,ATT0002178,USR000729,HTL0057,9663.45,0.1335,1289.8,4,True
BKG0000021,ATT0001516,USR002146,HTL0118,15264.81,0.1158,1767.31,8,False
BKG0000022,ATT0000995,USR001129,HTL0108,14345.65,0.1235,1772.19,26,False
BKG0000023,ATT0004214,USR000390,HTL0048,3802.09,0.1136,431.8,10,True
BKG0000024,ATT0003781,USR003529,HTL0111,10509.61,0.1089,1144.17,23,False
BKG0000025,ATT0005194,USR003717,HTL0070,7498.41,0.1004,753.16,22,True
BKG0000026,ATT0000046,USR001864,HTL0015,2420.69,0.1568,379.6,14,True
BKG0000027,ATT0001242,USR000928,HTL0031,4823.25,0.1469,708.43,7,True
BKG0000028,ATT0005147,USR001434,HTL0095,16677.1,0.1127,1878.78,19,False
BKG0000029,ATT0001204,USR003568,HTL0056,6067.09,0.1434,869.95,8,True
BKG0000030,ATT0000616,USR002614,HTL0106,11550.49,0.1366,1578.22,1,False
BKG0000031,ATT0003619,USR003728,HTL0069,5337.33,0.0959,511.87,17,True
BKG0000032,ATT0005916,USR003507,HTL0054,4389.38,0.1455,638.46,4,True
BKG0000033,ATT0003145,USR001751,HTL0042,8421.92,0.1346,1133.87,1,True
BKG0000034,ATT0004244,USR000151,HTL0016,2936.11,0.1417,416.09,14,True
BKG0000035,ATT0002853,USR002945,HTL0117,8115.74,0.1123,911.07,2,False
BKG0000036,ATT0003147,USR003218,HTL0106,19084.98,0.0957,1826.08,17,False
BKG0000037,ATT0002968,USR002289,HTL0044,6323.06,0.1395,881.87,12,True
