view_id,search_id,hotel_id,listed_price,week_number
VEW0000001,SCH0001871,HTL0045,3065.04,4
VEW0000002,SCH0000624,HTL0001,8485.7,21
VEW0000003,SCH0005943,HTL0014,4802.86,11
VEW0000004,SCH0004258,HTL0013,8771.91,17
VEW0000005,SCH0009636,HTL0011,2871.33,13
VEW0000006,SCH0004352,HTL0041,5150.06,2
VEW0000007,SCH0012170,HTL0044,4994.81,21
VEW0000008,SCH0015266,HTL0113,45963.4,26
VEW0000009,SCH0000387,HTL0106,21206.27,20
VEW0000010,SCH0015420,HTL0032,4368.45,18
VEW0000011,SCH0016588,HTL0107,8860.57,19
VEW0000012,SCH0016945,HTL0116,30088.56,5
VEW0000013,SCH0011313,HTL0119,11730.65,1
VEW0000014,SCH0000430,HTL0016,2408.35,3
VEW0000015,SCH0016484,HTL0026,5704.15,22
VEW0000016,SCH0010699,HTL0003,6021.48,10
VEW0000017,SCH0012109,HTL0049,5195.27,7
VEW0000018,SCH0010433,HTL0106,21245.26,6
VEW0000019,SCH0015597,HTL0048,5942.6,20
VEW0000020,SCH0013201,HTL0033,5392.23,19
VEW0000021,SCH0004702,HTL0005,2745.09,9
VEW0000022,SCH0008707,HTL0046,5405.89,17
VEW0000023,SCH0004429,HTL0120,19357.15,17
VEW0000024,SCH0009203,HTL0099,14448.49,22
VEW0000025,SCH0011442,HTL0068,3598.58,4
VEW0000026,SCH0010716,HTL0047,2645.69,10
VEW0000027,SCH0006792,HTL0084,4054.57,25
VEW0000028,SCH0000345,HTL0092,14193.5,20
VEW0000029,SCH0010490,HTL0052,3534.91,16
VEW0000030,SCH0009669,HTL0056,3394.13,10
VEW0000031,SCH0012881,HTL0082,5610.87,5
VEW0000032,SCH0004334,HTL0098,19921.48,11
VEW0000033,SCH0013161,HTL0094,17484.7,25
VEW0000034,SCH0017342,HTL0119,40975.51,9
VEW0000035,SCH0003925,HTL0051,4524.42,23
VEW0000036,SCH0007144,HTL0120,8210.75,8
VEW0000037,SCH0002232,HTL0081,6790.63,5
VEW0000038,SCH0005559,HTL0102,18178.91,13
VEW0000039,SCH0004126,HTL0037,3100.85,23
VEW0000040,SCH0014464,HTL0061,4757.0,26
VEW0000041,SCH0017738,HTL0118,20770.04,19
VEW0000042,SCH0005805,HTL0081,7827.04,26
VEW0000043,SCH0000802,HTL0037,3955.87,11
VEW0000044,SCH0012023,HTL0091,23823.25,7
VEW0000045,SCH0003245,HTL0077,4531.91,17
VEW0000046,SCH0007877,HTL0085,3909.71,7
VEW0000047,SCH0015185,HTL0051,4356.97,26
VEW0000048,SCH0016748,HTL0060,10158.01,10
VEW0000049,SCH0008199,HTL0098,54788.49,24
VEW0000050,SCH0003125,HTL0096,16532.31,19
VEW0000051,SCH0016390,HTL0004,3717.94,26
VEW0000052,SCH0004784,HTL0066,3392.19,22
VEW0000053,SCH0016239,HTL0017,7666.26,23
VEW0000054,SCH0002744,HTL0038,6157.35,23
VEW0000055,SCH0016256,HTL0080,4479.36,6
VEW0000056,SCH0016859,HTL0097,15437.71,3
VEW0000057,SCH0012380,HTL0012,6612.07,17
VEW0000058,SCH0016549,HTL0112,37691.9,12
VEW0000059,SCH0005245,HTL0110,28818.52,8
VEW0000060,SCH0008112,HTL0050,2239.8,4
VEW0000061,SCH0001338,HTL0014,4240.28,16
VEW0000062,SCH0007909,HTL0067,6616.4,25
VEW0000063,SCH0011057,HTL0094,11723.85,20
VEW0000064,SCH0017210,HTL0097,17874.29,10
VEW0000065,SCH0014318,HTL0101,24301.07,7
VEW0000066,SCH0006685,HTL0010,5031.86,10
VEW0000067,SCH0012732,HTL0056,6006.38,22
VEW0000068,SCH0005064,HTL0051,2806.47,11
VEW0000069,SCH0007095,HTL0081,6560.04,8
VEW0000070,SCH0007863,HTL0013,2809.83,10
VEW0000071,SCH0017098,HTL0063,5330.36,9
VEW0000072,SCH0006705,HTL0106,15828.8,23
VEW0000073,SCH0004602,HTL0115,28884.39,2
VEW0000074,SCH0001569,HTL0096,8426.48,26
VEW0000075,SCH0002811,HTL0008,4566.79,8
VEW0000076,SCH0006779,HTL0076,6873.49,26
VEW0000077,SCH0003726,HTL0111,24448.07,24
VEW0000078,SCH0016231,HTL0091,10468.68,26
VEW0000079,SCH0009118,HTL0044,6700.63,10
VEW0000080,SCH0005839,HTL0083,2967.31,6
VEW0000081,SCH0017465,HTL0066,6567.54,4
VEW0000082,SCH0002184,HTL0095,36391.75,20
VEW0000083,SCH0013637,HTL0077,4019.15,16
VEW0000084,SCH0017108,HTL0083,4557.88,6
VEW0000085,SCH0005250,HTL0113,22831.12,23
VEW0000086,SCH0017642,HTL0102,14835.85,26
VEW0000087,SCH0009443,HTL0104,10828.31,16
VEW0000088,SCH0012939,HTL0005,2231.29,23
VEW0000089,SCH0015897,HTL0033,11864.14,15
VEW0000090,SCH0008161,HTL0118,16355.19,17
VEW0000091,SCH0012827,HTL0040,5215.34,12
VEW0000092,SCH0010061,HTL0101,19710.79,25
VEW0000093,SCH0013979,HTL0091,15058.53,26
VEW0000094,SCH0003894,HTL0038,2314.75,24
VEW0000095,SCH0005692,HTL0085,2371.26,12
VEW0000096,SCH0012691,HTL0084,4081.83,18
VEW0000097,SCH0017617,HTL0076,5252.6,25
VEW0000098,SCH0015433,HTL0099,11970.72,8
VEW0000099,SCH0012937,HTL0013,7380.88,5
VEW0000100,SCH0016898,HTL0092,34670.14,3
VEW0000101,SCH0002302,HTL0050,3347.58,10
VEW0000102,SCH0016246,HTL0076,6803.78,26
VEW0000103,SCH0007854,HTL0109,23672.15,25
VEW0000104,SCH0002507,HTL0062,15685.74,13
VEW0000105,SCH0000419,HTL0066,7773.76,26
VEW0000106,SCH0003115,HTL0105,21926.46,19
VEW0000107,SCH0006172,HTL0103,19540.63,8
VEW0000108,SCH0011415,HTL0100,17900.35,1
VEW0000109,SCH0008817,HTL0014,4360.66,11
VEW0000110,SCH0011698,HTL0010,3078.63,18
VEW0000111,SCH0008638,HTL0109,10177.35,5
VEW0000112,SCH0009101,HTL0031,4400.85,9
VEW0000113,SCH0008015,HTL0033,4350.74,12
VEW0000114,SCH0006953,HTL0058,2739.72,25
VEW0000115,SCH0010945,HTL0052,7004.51,26
VEW0000116,SCH0008246,HTL0048,2914.51,10
VEW0000117,SCH0016067,HTL0120,28038.62,12
VEW0000118,SCH0004854,HTL0045,5138.74,7
VEW0000119,SCH0008770,HTL0097,27088.45,11
VEW0000120,SCH0007642,HTL0011,5073.41,4
VEW0000121,SCH0000200,HTL0049,3055.63,15
VEW0000122,SCH0001287,HTL0015,2379.26,12
VEW0000123,SCH0008237,HTL0103,28880.09,23
VEW0000124,SCH0015989,HTL0116,20221.55,24
VEW0000125,SCH0011585,HTL0097,23487.6,3
VEW0000126,SCH0012547,HTL0032,4409.97,16
VEW0000127,SCH0017798,HTL0098,46215.35,20
VEW0000128,SCH0005390,HTL0099,8126.45,12
VEW0000129,SCH0011798,HTL0091,12488.94,19
VEW0000130,SCH0017373,HTL0097,20691.62,19
VEW0000131,SCH0005190,HTL0047,9531.88,7
VEW0000132,SCH0000568,HTL0063,3213.32,24
VEW0000133,SCH0015525,HTL0097,14590.21,7
VEW0000134,SCH0004568,HTL0112,9620.3,23
VEW0000135,SCH0012896,HTL0074,7159.24,19
VEW0000136,SCH0007589,HTL0045,5728.17,21
VEW0000137,SCH0000045,HTL0095,8391.04,17
VEW0000138,SCH0011440,HTL0103,18471.89,17
VEW0000139,SCH0009222,HTL0009,4636.33,21
VEW0000140,SCH0015267,HTL0072,5828.83,15
VEW0000141,SCH0016978,HTL0036,4644.55,6
VEW0000142,SCH0002815,HTL0063,10468.84,23
VEW0000143,SCH0015183,HTL0040,4320.1,13
VEW0000144,SCH0004149,HTL0098,13692.3,11
VEW0000145,SCH0004308,HTL0034,6667.4,21
VEW0000146,SCH0009729,HTL0020,4168.43,23
VEW0000147,SCH0002634,HTL0095,21121.4,8
VEW0000148,SCH0012342,HTL0076,4265.39,2
VEW0000149,SCH0006957,HTL0119,18882.23,15
VEW0000150,SCH0015795,HTL0022,4355.48,21
VEW0000151,SCH0010934,HTL0025,5090.32,18
VEW0000152,SCH0004113,HTL0067,9404.84,1
VEW0000153,SCH0005671,HTL0093,63782.53,22
VEW0000154,SCH0008414,HTL0057,5370.43,12
VEW0000155,SCH0013163,HTL0047,5320.27,15
VEW0000156,SCH0014251,HTL0049,12687.86,20
VEW0000157,SCH0005950,HTL0042,2644.59,8
VEW0000158,SCH0008830,HTL0088,2961.49,25
VEW0000159,SCH0006540,HTL0064,3343.39,12
