search_id,session_id,destination,check_in_date,check_out_date,search_price_shown,is_domestic,week_number
SCH0000001,SES0001445,Dubai,2024-07-19,2024-07-05,23117.77,False,22
SCH0000002,SES0001679,Hyderabad,2024-04-16,2024-05-02,4650.33,True,10
SCH0000003,SES0007722,Singapore,2024-04-07,2024-05-09,24930.43,False,8
SCH0000004,SES0007521,London,2024-07-02,2024-07-20,38619.59,False,24
SCH0000005,SES0006252,Bengaluru,2024-06-02,2024-07-29,4475.34,True,19
SCH0000006,SES0000709,Bengaluru,2024-02-11,2024-02-15,4475.37,True,1
SCH0000007,SES0002618,Dubai,2024-08-08,2024-07-23,39719.85,False,26
SCH0000008,SES0008194,Jaipur,2024-08-13,2024-09-02,6680.67,True,24
SCH0000009,SES0003402,Jaipur,2024-07-18,2024-05-24,4073.31,True,19
SCH0000010,SES0004974,Goa,2024-03-08,2024-03-18,6105.98,True,1
SCH0000011,SES0002630,Jaipur,2024-02-28,2024-02-18,4083.19,True,6
SCH0000012,SES0011766,Mumbai,2024-07-16,2024-07-15,4079.41,True,20
SCH0000013,SES0003683,Bengaluru,2024-06-29,2024-04-24,5414.22,True,15
SCH0000014,SES0004169,Jaipur,2024-03-30,2024-02-13,2286.3,True,1
SCH0000015,SES0003174,Ahmedabad,2024-05-13,2024-04-01,2465.21,True,8
SCH0000016,SES0002428,Ahmedabad,2024-05-10,2024-06-23,3924.86,True,14
SCH0000017,SES0005985,Kolkata,2024-07-15,2024-09-11,3277.6,True,24
SCH0000018,SES0011199,Chennai,2024-04-11,2024-05-04,5573.06,True,8
SCH0000019,SES0000089,Mumbai,2024-03-04,2024-04-11,3417.93,True,2
SCH0000020,SES0003132,Bangkok,2024-03-26,2024-02-26,8900.37,False,5
SCH0000021,SES0009368,Ahmedabad,2024-03-07,2024-04-06,8833.08,True,7
SCH0000022,SES0001042,Dubai,2024-05-07,2024-07-04,16108.65,False,15
SCH0000023,SES0000258,Pune,2024-07-29,2024-07-14,5049.33,True,21
