session_id,user_id,session_start,session_end,week_number,channel
SES0000001,USR000105,2024-01-28 13:24:00,2024-01-28 13:52:35,4,paid
SES0000002,USR002422,2024-04-09 20:45:00,2024-04-09 20:53:37,15,paid
SES0000003,USR001065,2024-04-12 23:41:00,2024-04-13 00:13:09,15,organic
SES0000004,USR000156,2024-06-27 14:36:00,2024-06-27 14:57:42,26,organic
SES0000005,USR002033,2024-03-23 12:17:00,2024-03-23 12:52:34,12,organic
SES0000006,USR003630,2024-03-09 12:59:00,2024-03-09 13:13:23,10,direct
SES0000007,USR000506,2024-04-21 19:54:00,2024-04-21 20:30:54,16,paid
SES0000008,USR003941,2024-03-27 15:53:00,2024-03-27 16:04:28,13,paid
SES0000009,USR001873,2024-05-18 20:35:00,2024-05-18 21:06:56,20,organic
SES0000010,USR002766,2024-04-03 10:59:00,2024-04-03 11:16:28,14,paid
SES0000011,USR001896,2024-05-07 11:57:00,2024-05-07 12:30:52,19,referral
SES0000012,USR001185,2024-04-18 22:59:00,2024-04-18 23:02:16,16,paid
SES0000013,USR001644,2024-05-01 19:35:00,2024-05-01 19:42:54,18,organic
SES0000014,USR002890,2024-03-19 18:29:00,,12,paid
SES0000015,USR002846,2024-06-22 11:24:00,2024-06-22 11:34:18,25,paid
SES0000016,USR003883,2024-01-25 14:59:00,2024-01-25 15:25:19,4,direct
SES0000017,USR000810,2024-04-04 17:25:00,2024-04-04 17:40:14,14,direct
SES0000018,USR001427,2024-01-12 22:00:00,2024-01-12 22:07:56,2,organic
SES0000019,USR003300,2024-06-08 18:23:00,,23,paid
SES0000020,USR000340,2024-04-07 15:38:00,2024-04-07 15:55:12,14,direct
SES0000021,USR000694,2024-06-11 23:44:00,2024-06-11 23:51:45,24,paid
SES0000022,USR001862,2024-04-11 20:47:00,2024-04-11 20:58:18,15,paid
SES0000023,USR000332,2024-05-28 09:21:00,2024-05-28 09:23:37,22,direct
SES0000024,USR003508,2024-06-04 20:03:00,,23,organic
SES0000025,USR002754,2024-01-01 11:42:00,,1,paid
SES0000026,USR000055,2024-05-22 21:04:00,,21,paid
SES0000027,USR001330,2024-03-15 22:12:00,2024-03-15 22:51:21,11,paid
SES0000028,USR000405,2024-01-31 10:08:00,2024-01-31 10:14:59,5,organic
SES0000029,USR003683,2024-04-29 09:43:00,2024-04-29 10:21:57,18,organic
SES0000030,USR003094,2024-02-03 14:33:00,2024-02-03 14:54:40,5,referral
SES0000031,USR002987,2024-02-15 09:48:00,2024-02-15 10:27:16,7,direct
SES0000032,USR001874,2024-03-07 12:12:00,,10,organic
SES0000033,USR003656,2024-05-08 16:33:00,2024-05-08 16:42:31,19,organic
SES0000034,USR000607,2024-01-18 15:40:00,2024-01-18 16:09:10,3,organic
SES0000035,USR000276,2024-03-20 18:46:00,,12,paid
SES0000036,USR000495,2024-06-11 12:04:00,2024-06-11 12:41:12,24,organic
SES0000037,USR003050,2024-03-12 08:26:00,2024-03-12 08:41:33,11,paid
SES0000038,USR003049,2024-05-24 20:52:00,,21,referral
SES0000039,USR002354,2024-04-11 10:40:00,2024-04-11 10:56:14,15,organic
SES0000040,USR003720,2024-03-26 14:26:00,2024-03-26 14:44:52,13,paid
SES0000041,USR001116,2024-01-27 21:38:00,2024-01-27 21:55:17,4,direct
SES0000042,USR003313,2024-02-20 18:58:00,2024-02-20 19:03:30,8,paid
SES0000043,USR000349,2024-04-18 21:17:00,2024-04-18 21:19:01,16,paid
SES0000044,USR003511,2024-05-14 15:50:00,2024-05-14 15:55:37,20,referral
SES0000045,USR001584,2024-04-13 15:42:00,2024-04-13 15:55:15,15,paid
SES0000046,USR002191,2024-05-21 12:56:00,2024-05-21 13:24:27,21,referral
SES0000047,USR002503,2024-02-05 13:24:00,2024-02-05 13:41:24,6,organic
SES0000048,USR003361,2024-06-26 18:54:00,2024-06-26 19:06:17,26,organic
SES0000049,USR000747,2024-01-31 13:58:00,2024-01-31 14:27:17,5,organic
SES0000050,USR001891,2024-04-17 17:43:00,2024-04-17 18:19:30,16,direct
SES0000051,USR002638,2024-06-25 21:49:00,2024-06-25 22:27:00,26,organic
SES0000052,USR003425,2024-05-20 11:04:00,2024-05-20 11:26:06,21,referral
SES0000053,USR002911,2024-06-18 15:02:00,2024-06-18 15:32:05,25,organic
SES0000054,USR003406,2024-04-19 08:20:00,2024-04-19 08:59:21,16,paid
SES0000055,USR003910,2024-04-08 18:20:00,2024-04-08 18:44:44,15,paid
SES0000056,USR001995,2024-05-11 09:49:00,2024-05-11 10:16:31,19,paid
SES0000057,USR001890,2024-02-13 23:33:00,2024-02-14 00:06:41,7,organic
SES0000058,USR001064,2024-04-22 13:59:00,2024-04-22 14:24:19,17,paid
SES0000059,USR002516,2024-04-13 12:01:00,2024-04-13 12:20:11,15,organic
SES0000060,USR003194,2024-05-21 22:10:00,2024-05-21 22:18:56,21,referral
SES0000061,USR001101,2024-06-08 20:25:00,2024-06-08 20:27:32,23,referral
SES0000062,USR002709,2024-06-18 18:32:00,,25,organic
SES0000063,USR003534,2024-01-28 08:11:00,2024-01-28 08:33:48,4,organic
SES0000064,USR003651,2024-06-21 23:29:00,2024-06-21 23:45:31,25,paid
SES0000065,USR003410,2024-06-09 14:38:00,2024-06-09 15:03:30,23,paid
SES0000066,USR000322,2024-06-02 18:48:00,,22,referral
SES0000067,USR001273,2024-06-22 12:16:00,2024-06-22 12:47:49,25,paid
SES0000068,USR003032,2024-05-06 10:04:00,2024-05-06 10:37:43,19,organic
SES0000069,USR000771,2024-02-15 22:00:00,2024-02-15 22:15:54,7,paid
SES0000070,USR001672,2024-06-06 12:22:00,2024-06-06 12:49:49,23,referral
SES0000071,USR002718,2024-03-28 21:06:00,2024-03-28 21:14:03,13,organic
SES0000072,USR001948,2024-05-17 17:46:00,2024-05-17 17:57:56,20,organic
SES0000073,USR003996,2024-05-13 08:34:00,2024-05-13 08:37:55,20,paid
SES0000074,USR003236,2024-02-20 09:47:00,2024-02-20 10:22:41,8,organic
SES0000075,USR000419,2024-06-28 13:40:00,2024-06-28 13:58:15,26,paid
SES0000076,USR002871,2024-05-03 12:32:00,2024-05-03 13:04:50,18,paid
SES0000077,USR001633,2024-03-03 13:51:00,,9,organic
SES0000078,USR001011,2024-04-25 14:05:00,2024-04-25 14:17:43,17,organic
SES0000079,USR000414,2024-06-04 21:22:00,2024-06-04 21:42:50,23,organic
SES0000080,USR003448,2024-04-23 13:00:00,,17,paid
SES0000081,USR000584,2024-04-15 22:54:00,2024-04-15 22:56:32,16,organic
SES0000082,USR002945,2024-01-09 23:16:00,2024-01-09 23:21:44,2,direct
SES0000083,USR000722,2024-01-20 13:31:00,2024-01-20 14:01:20,3,direct
SES0000084,USR000609,2024-03-05 20:20:00,2024-03-05 20:25:31,10,paid
SES0000085,USR002258,2024-05-04 18:22:00,,18,paid
SES0000086,USR001674,2024-04-13 08:01:00,2024-04-13 08:26:48,15,paid
SES0000087,USR000891,2024-06-24 11:39:00,2024-06-24 12:00:43,26,direct
SES0000088,USR001188,2024-05-26 16:45:00,,21,direct
SES0000089,USR001992,2024-01-09 14:44:00,,2,direct
SES0000090,USR003473,2024-05-02 08:28:00,,18,paid
SES0000091,USR002581,2024-01-17 09:09:00,2024-01-17 09:46:06,3,direct
SES0000092,USR001917,2024-06-22 14:42:00,2024-06-22 15:01:32,25,paid
SES0000093,USR002248,2024-02-18 16:12:00,2024-02-18 16:44:11,7,organic
SES0000094,USR003992,2024-04-09 11:27:00,2024-04-09 11:37:39,15,paid
SES0000095,USR003386,2024-03-29 08:55:00,2024-03-29 09:03:38,13,organic
SES0000096,USR003894,2024-04-06 20:14:00,2024-04-06 20:23:27,14,organic
SES0000097,USR001701,2024-04-14 21:39:00,2024-04-14 22:06:19,15,organic
SES0000098,USR003959,2024-06-27 17:00:00,2024-06-27 17:17:58,26,referral
SES0000099,USR001846,2024-02-05 16:23:00,2024-02-05 16:43:00,6,direct
SES0000100,USR002924,2024-06-17 08:24:00,2024-06-17 08:31:47,25,direct
SES0000101,USR002950,2024-03-27 22:00:00,2024-03-27 22:03:05,13,paid
SES0000102,USR000094,2024-03-13 17:50:00,2024-03-13 18:13:36,11,paid
SES0000103,USR003854,2024-01-15 18:46:00,2024-01-15 18:53:29,3,organic
SES0000104,USR003706,2024-04-24 12:37:00,2024-04-24 13:06:11,17,organic
SES0000105,USR001322,2024-05-14 08:37:00,2024-05-14 08:46:50,20,paid
SES0000106,USR002917,2024-04-29 19:00:00,2024-04-29 19:22:41,18,organic
SES0000107,USR001471,2024-03-30 21:39:00,,13,paid
SES0000108,USR003963,2024-04-27 14:07:00,2024-04-27 14:30:31,17,paid
SES0000109,USR001494,2024-04-06 18:23:00,2024-04-06 18:34:54,14,paid
SES0000110,USR002459,2024-04-13 13:08:00,2024-04-13 13:46:43,15,organic
SES0000111,USR000481,2024-06-05 14:29:00,2024-06-05 15:00:22,23,referral
SES0000112,USR001044,2024-04-16 19:58:00,2024-04-16 20:17:30,16,organic
SES0000113,USR000608,2024-03-30 17:31:00,2024-03-30 17:59:37,13,direct
SES0000114,USR003745,2024-04-03 14:38:00,,14,organic
SES0000115,USR000924,2024-06-03 10:07:00,2024-06-03 10:30:30,23,paid
SES0000116,USR000551,2024-06-09 18:20:00,2024-06-09 18:55:34,23,organic
SES0000117,USR002189,2024-01-28 13:29:00,2024-01-28 14:00:24,4,direct
SES0000118,USR000240,2024-04-12 13:25:00,2024-04-12 13:28:45,15,organic
SES0000119,USR001751,2024-02-08 16:34:00,2024-02-08 16:36:16,6,organic
SES0000120,USR002012,2024-06-24 16:58:00,2024-06-24 17:23:29,26,organic
SES0000121,USR003972,2024-01-12 08:45:00,,2,organic
SES0000122,USR003976,2024-05-03 21:04:00,2024-05-03 21:26:07,18,organic
SES0000123,USR000995,2024-03-05 13:38:00,2024-03-05 13:54:01,10,paid
SES0000124,USR001303,2024-04-13 18:44:00,2024-04-13 19:05:08,15,organic
SES0000125,USR000921,2024-03-20 13:02:00,2024-03-20 13:25:15,12,organic
SES0000126,USR001110,2024-02-07 21:28:00,2024-02-07 21:50:55,6,referral
SES0000127,USR000719,2024-05-03 10:06:00,2024-05-03 10:19:51,18,direct
SES0000128,USR000478,2024-02-16 15:01:00,2024-02-16 15:22:51,7,organic
SES0000129,USR003606,2024-01-11 21:09:00,2024-01-11 21:40:11,2,direct
SES0000130,USR000624,2024-02-21 11:05:00,,8,paid
SES0000131,USR002229,2024-01-05 19:33:00,2024-01-05 20:12:56,1,organic
SES0000132,USR003692,2024-06-10 11:56:00,2024-06-10 12:20:47,24,direct
SES0000133,USR001974,2024-03-12 13:07:00,2024-03-12 13:22:00,11,paid
SES0000134,USR002344,2024-06-29 20:03:00,2024-06-29 20:04:31,26,paid
SES0000135,USR003606,2024-03-12 16:29:00,2024-03-12 16:59:32,11,organic
SES0000136,USR000875,2024-04-22 12:42:00,2024-04-22 13:17:39,17,organic
SES0000137,USR001312,2024-05-10 15:00:00,2024-05-10 15:34:50,19,organic
SES0000138,USR003680,2024-04-15 11:47:00,2024-04-15 12:04:49,16,organic
SES0000139,USR002540,2024-01-05 23:36:00,2024-01-05 23:45:38,1,referral
SES0000140,USR003948,2024-01-27 18:44:00,2024-01-27 19:11:53,4,organic
SES0000141,USR000207,2024-03-03 15:13:00,2024-03-03 15:49:33,9,organic
SES0000142,USR002308,2024-04-13 19:56:00,2024-04-13 20:06:56,15,direct
SES0000143,USR002833,2024-05-25 20:32:00,2024-05-25 20:40:09,21,paid
SES0000144,USR000972,2024-03-10 16:49:00,2024-03-10 17:06:01,10,paid
SES0000145,USR003108,2024-03-14 20:44:00,,11,organic
SES0000146,USR001127,2024-02-23 08:41:00,2024-02-23 08:42:16,8,organic
SES0000147,USR001428,2024-06-20 17:39:00,2024-06-20 18:00:17,25,organic
SES0000148,USR001493,2024-03-20 22:43:00,2024-03-20 23:01:14,12,organic
SES0000149,USR002028,2024-04-24 16:07:00,2024-04-24 16:10:57,17,organic
