listing_id,category,tier,avg_review_score,onboarded_week,city_tier,has_landmark_tag,amenities_complete
1,hotel,luxury,4.14,1,tier1,True,True
2,hotel,budget,4.46,1,tier1,True,True
3,hotel,mid,4.73,4,tier2,False,True
4,hotel,luxury,4.4,1,tier1,False,True
5,hotel,budget,4.22,2,resort,False,True
6,hotel,luxury,4.57,4,tier2,False,False
7,hotel,premium,4.82,4,tier2,False,True
8,hotel,premium,4.46,4,resort,False,True
9,hotel,budget,3.84,4,tier2,True,False
10,hotel,mid,4.01,2,resort,True,False
11,hotel,mid,4.11,3,tier1,False,True
12,hotel,luxury,4.35,4,tier2,False,True
13,hotel,premium,4.09,4,tier1,False,True
14,hotel,mid,3.89,4,tier1,True,True
15,hotel,budget,4.5,4,tier1,False,True
16,hotel,budget,4.88,2,tier2,False,True
17,hotel,luxury,4.24,2,tier1,False,True
18,hotel,luxury,4.7,1,resort,False,True
19,hotel,budget,4.72,1,resort,True,True
20,hotel,budget,4.18,3,tier1,False,True
21,hotel,budget,4.42,4,tier2,False,True
22,hotel,premium,4.4,4,resort,True,True
23,hotel,mid,4.12,3,resort,True,True
24,hotel,premium,4.71,1,tier2,True,False
25,hotel,luxury,4.86,2,tier2,True,True
26,hotel,mid,4.42,4,tier1,True,True
27,hotel,mid,4.73,3,resort,False,True
28,hotel,budget,4.36,1,resort,True,True
29,hotel,premium,4.59,2,tier1,False,True
30,hotel,budget,3.96,1,tier1,True,True
31,hotel,luxury,3.84,1,tier1,False,True
32,hotel,budget,4.32,3,tier1,False,True
33,hotel,premium,4.8,3,resort,False,True
34,hotel,premium,4.16,2,tier1,False,False
35,hotel,premium,4.2,1,resort,False,True
36,hotel,budget,4.18,4,resort,True,True
37,hotel,luxury,4.02,4,tier2,False,True
38,hotel,budget,4.29,3,tier2,True,True
39,hotel,premium,4.73,1,tier1,False,True
40,hotel,premium,4.05,3,resort,True,True
41,hotel,luxury,4.47,4,resort,False,True
42,hotel,mid,4.09,3,tier2,True,False
43,hotel,premium,4.4,4,tier2,False,True
44,hotel,premium,4.04,1,tier1,False,True
45,hotel,premium,4.61,1,tier2,True,False
46,hotel,mid,4.46,3,resort,False,True
47,hotel,mid,3.96,4,tier1,True,True
48,hotel,budget,4.75,4,tier2,False,True
49,hotel,premium,4.63,1,tier1,False,True
50,hotel,budget,4.2,1,resort,False,True
51,hotel,mid,4.52,4,tier1,False,False
