session_id,week,cohort,rank_1_listing_tier,budget_in_top5_pct,time_to_first_click_seconds,scroll_depth_pct,filters_applied,premium_filter_available
1,1,HVT,luxury,0.162,7,0.25,2,True
2,1,HVT,mid,0.165,9,0.175,2,True
3,1,HVT,mid,0.194,7,0.174,2,True
4,1,HVT,premium,0.173,7,0.255,2,True
5,1,HVT,mid,0.191,6,0.205,2,True
6,1,HVT,mid,0.199,8,0.242,2,True
7,1,HVT,luxury,0.193,8,0.263,2,True
8,1,HVT,premium,0.197,9,0.17,1,True
9,1,HVT,premium,0.188,8,0.222,2,True
10,1,HVT,mid,0.188,6,0.173,1,True
11,1,HVT,premium,0.176,6,0.22,2,True
12,1,HVT,mid,0.176,6,0.253,2,True
13,1,HVT,luxury,0.2,6,0.258,2,True
14,1,HVT,premium,0.165,8,0.264,2,True
15,1,HVT,premium,0.153,9,0.214,2,True
16,1,HVT,premium,0.172,9,0.26,2,True
17,1,HVT,luxury,0.178,6,0.181,1,True
18,1,HVT,premium,0.161,7,0.198,1,True
19,1,HVT,premium,0.19,6,0.258,1,True
20,1,HVT,premium,0.164,8,0.213,1,True
21,1,HVT,premium,0.188,8,0.2,1,True
22,1,HVT,mid,0.199,8,0.229,2,True
23,1,HVT,mid,0.197,7,0.222,1,True
24,1,HVT,premium,0.18,8,0.173,2,True
25,1,HVT,mid,0.162,7,0.198,1,True
26,1,HVT,premium,0.184,8,0.225,1,True
27,1,HVT,mid,0.172,8,0.18,2,True
28,1,HVT,luxury,0.209,9,0.18,1,True
29,1,HVT,premium,0.204,7,0.17,2,True
30,1,HVT,premium,0.157,6,0.266,1,True
31,1,HVT,mid,0.168,8,0.247,2,True
32,1,HVT,premium,0.173,7,0.263,2,True
33,1,HVT,mid,0.175,7,0.17,2,True
34,1,HVT,mid,0.208,6,0.173,2,True
35,1,HVT,premium,0.156,7,0.219,2,True
36,1,HVT,mid,0.162,7,0.204,1,True
37,1,HVT,premium,0.208,6,0.226,2,True
38,1,HVT,luxury,0.185,9,0.234,2,True
39,1,HVT,premium,0.178,9,0.232,1,True
40,1,HVT,mid,0.174,8,0.243,2,True
41,1,HVT,premium,0.153,8,0.21,1,True
42,1,HVT,mid,0.2,8,0.263,1,True
43,1,HVT,mid,0.16,7,0.261,2,True
44,1,HVT,premium,0.176,8,0.269,1,True
45,1,HVT,luxury,0.173,7,0.206,1,True
46,1,HVT,premium,0.171,7,0.179,2,True
47,1,HVT,mid,0.163,9,0.261,1,True
48,1,HVT,mid,0.208,8,0.233,1,True
49,1,HVT,mid,0.195,7,0.228,2,True
50,1,HVT,mid,0.209,8,0.245,2,True
51,1,HVT,mid,0.159,9,0.254,1,True
52,1,HVT,mid,0.18,7,0.19,2,True
53,1,HVT,luxury,0.161,6,0.186,2,True
54,1,HVT,premium,0.204,6,0.264,2,True
55,1,HVT,mid,0.184,8,0.242,2,True
56,1,HVT,premium,0.209,8,0.212,2,True
57,1,HVT,mid,0.205,6,0.243,2,True
58,1,HVT,premium,0.2,7,0.241,1,True
59,1,HVT,mid,0.157,8,0.202,1,True
60,1,HVT,premium,0.188,7,0.245,2,True
61,1,HVT,premium,0.201,9,0.221,2,True
62,1,HVT,premium,0.204,7,0.212,2,True
63,1,HVT,premium,0.158,9,0.193,1,True
64,1,HVT,premium,0.189,7,0.236,2,True
65,1,HVT,luxury,0.162,7,0.186,2,True
66,1,HVT,premium,0.16,7,0.242,2,True
67,1,HVT,luxury,0.192,7,0.265,1,True
68,1,HVT,mid,0.201,7,0.202,2,True
69,1,HVT,premium,0.17,9,0.205,2,True
70,1,HVT,premium,0.158,7,0.267,1,True
71,1,HVT,premium,0.208,7,0.254,2,True
72,1,HVT,mid,0.19,7,0.185,1,True
73,1,HVT,premium,0.192,8,0.206,1,True
74,1,HVT,mid,0.156,8,0.252,2,True
75,1,HVT,mid,0.2,9,0.187,1,True
76,1,HVT,premium,0.168,9,0.196,2,True
77,1,HVT,mid,0.154,8,0.229,2,True
78,1,HVT,luxury,0.18,8,0.253,1,True
79,1,HVT,premium,0.197,8,0.239,2,True
80,1,HVT,luxury,0.171,8,0.227,2,True
81,1,HVT,mid,0.183,8,0.256,1,True
82,1,HVT,luxury,0.209,7,0.223,2,True
83,1,HVT,premium,0.188,7,0.223,2,True
84,1,HVT,luxury,0.176,8,0.245,2,True
85,1,HVT,mid,0.167,7,0.218,1,True
86,1,HVT,premium,0.177,6,0.248,2,True
87,1,HVT,mid,0.192,6,0.211,2,True
88,1,HVT,premium,0.187,7,0.246,2,True
89,1,HVT,mid,0.197,8,0.226,1,True
90,1,HVT,premium,0.174,9,0.256,1,True
91,1,HVT,mid,0.173,7,0.214,2,True
92,1,HVT,premium,0.179,6,0.196,2,True
93,1,HVT,mid,0.156,7,0.18,2,True
94,1,HVT,luxury,0.181,6,0.269,2,True
95,1,HVT,premium,0.185,6,0.195,2,True
96,1,HVT,mid,0.19,8,0.174,2,True
97,1,HVT,premium,0.187,6,0.229,2,True
98,1,HVT,premium,0.178,6,0.229,1,True
99,1,HVT,premium,0.154,6,0.199,1,True
100,1,HVT,luxury,0.192,7,0.182,1,True
101,1,HVT,luxury,0.168,8,0.258,1,True
102,1,HVT,premium,0.163,6,0.186,2,True
103,1,HVT,premium,0.181,6,0.227,2,True
104,1,HVT,mid,0.165,9,0.199,2,True
105,1,HVT,mid,0.171,9,0.222,1,True
106,1,HVT,luxury,0.162,8,0.238,1,True
107,1,HVT,premium,0.165,8,0.171,1,True
108,1,HVT,mid,0.171,7,0.265,1,True
109,1,HVT,mid,0.178,7,0.266,1,True
110,1,HVT,premium,0.156,7,0.244,2,True
111,1,HVT,mid,0.208,7,0.26,1,True
112,1,HVT,premium,0.188,7,0.255,2,True
113,1,HVT,luxury,0.196,6,0.247,2,True
114,1,HVT,mid,0.165,7,0.212,1,True
115,1,HVT,premium,0.172,9,0.207,2,True
116,1,HVT,premium,0.204,8,0.231,1,True
117,1,HVT,mid,0.205,9,0.191,1,True
118,1,HVT,premium,0.187,8,0.228,2,True
119,1,HVT,luxury,0.158,7,0.234,2,True
120,1,HVT,luxury,0.203,7,0.23,2,True
121,1,HVT,luxury,0.175,9,0.247,2,True
122,1,HVT,mid,0.18,8,0.243,2,True
123,1,HVT,mid,0.204,9,0.217,2,True
124,1,HVT,premium,0.172,9,0.223,2,True
125,1,HVT,premium,0.152,8,0.205,2,True
126,1,HVT,premium,0.185,8,0.27,2,True
127,1,HVT,premium,0.21,9,0.224,2,True
128,1,HVT,premium,0.191,8,0.195,1,True
129,1,Mission,mid,0.117,8,0.343,0,True
130,1,Mission,mid,0.126,10,0.343,0,True
131,1,Mission,premium,0.152,9,0.403,0,True
132,1,Mission,mid,0.164,9,0.407,0,True
133,1,Mission,luxury,0.155,10,0.409,0,True
134,1,Mission,premium,0.158,11,0.424,0,True
135,1,Mission,premium,0.143,11,0.332,0,True
136,1,Mission,mid,0.141,11,0.341,0,True
137,1,Mission,luxury,0.147,9,0.347,0,True
138,1,Mission,mid,0.119,9,0.334,0,True
139,1,Mission,premium,0.147,12,0.34,0,True
140,1,Mission,premium,0.15,11,0.335,0,True
141,1,Mission,premium,0.159,13,0.427,0,True
142,1,Mission,mid,0.128,10,0.399,0,True
143,1,Mission,mid,0.12,9,0.365,0,True
144,1,Mission,premium,0.158,12,0.364,0,True
145,1,Mission,premium,0.162,9,0.388,0,True
146,1,Mission,mid,0.121,8,0.411,0,True
147,1,Mission,premium,0.159,9,0.414,1,True
148,1,Mission,mid,0.114,11,0.351,0,True
149,1,Mission,mid,0.13,11,0.349,0,True
150,1,Mission,luxury,0.15,12,0.379,0,True
151,1,Mission,luxury,0.168,8,0.36,0,True
152,1,Mission,mid,0.159,13,0.36,0,True
153,1,Mission,mid,0.139,11,0.389,0,True
154,1,Mission,premium,0.114,10,0.376,0,True
155,1,Mission,luxury,0.113,10,0.395,1,True
156,1,Mission,mid,0.113,9,0.424,0,True
157,1,Mission,premium,0.145,10,0.414,0,True
158,1,Mission,premium,0.154,12,0.394,0,True
159,1,Mission,luxury,0.113,10,0.364,0,True
160,1,Mission,mid,0.111,11,0.387,0,True
161,1,Mission,premium,0.133,12,0.386,0,True
162,1,Mission,luxury,0.149,9,0.362,0,True
163,1,Mission,luxury,0.152,10,0.35,0,True
164,1,Mission,luxury,0.113,10,0.35,0,True
165,1,Mission,luxury,0.155,12,0.428,0,True
166,1,Mission,premium,0.138,9,0.391,0,True
167,1,Mission,mid,0.139,13,0.418,0,True
168,1,Mission,mid,0.147,9,0.425,0,True
169,1,Mission,luxury,0.135,11,0.401,1,True
170,1,Mission,premium,0.144,11,0.353,0,True
171,1,Mission,premium,0.126,9,0.355,0,True
172,1,Mission,mid,0.169,13,0.398,0,True
173,1,Mission,luxury,0.13,9,0.401,0,True
174,1,Mission,premium,0.14,10,0.426,0,True
175,1,Mission,luxury,0.156,10,0.388,0,True
176,1,Mission,luxury,0.154,9,0.334,0,True
177,1,Mission,premium,0.126,9,0.369,0,True
178,1,Mission,premium,0.149,12,0.429,1,True
179,1,Mission,premium,0.121,10,0.394,0,True
180,1,Mission,mid,0.166,12,0.4,1,True
181,1,Mission,premium,0.155,10,0.373,0,True
