session_id,user_id,week,cohort,search_query_type,listing_category,converted,review_dwell_seconds,listings_viewed,serp_bounce,opened_external_map,payment_abandoned,visa_concern_exit,package_page_visited
1,16,1,HVT,browsing,business,False,47,3,True,False,False,False,False
2,35,1,HVT,high_intent,international,False,45,3,False,False,False,False,False
3,45,1,HVT,medium_intent,international,False,56,3,False,False,False,False,False
4,58,1,HVT,high_intent,international,True,39,3,False,False,False,False,False
5,91,1,HVT,high_intent,business,False,51,4,False,False,False,False,True
6,102,1,HVT,high_intent,vacation,True,49,3,False,False,False,False,False
7,108,1,HVT,high_intent,international,False,56,3,True,False,False,False,False
8,109,1,HVT,high_intent,business,False,42,4,False,False,False,False,False
9,136,1,HVT,high_intent,business,True,48,4,False,False,False,False,False
10,141,1,HVT,high_intent,tourist,False,42,3,False,False,False,False,False
11,189,1,HVT,high_intent,tourist,False,52,4,False,False,False,False,False
12,217,1,HVT,high_intent,tourist,False,39,3,False,False,False,False,True
13,219,1,HVT,medium_intent,tourist,False,46,4,False,False,False,False,False
14,222,1,HVT,high_intent,international,False,53,4,False,False,False,False,True
15,228,1,HVT,high_intent,international,True,51,4,False,False,False,False,False
16,236,1,HVT,high_intent,business,False,50,4,False,False,False,False,False
17,250,1,HVT,high_intent,vacation,False,48,4,False,False,False,False,True
18,270,1,HVT,high_intent,tourist,True,50,3,False,False,False,False,False
19,287,1,HVT,high_intent,business,False,42,3,False,False,False,False,False
20,296,1,HVT,medium_intent,business,False,53,3,True,False,False,False,True
21,297,1,HVT,high_intent,tourist,False,42,3,False,False,False,False,False
22,311,1,HVT,high_intent,tourist,False,53,3,False,False,False,False,False
23,312,1,HVT,high_intent,international,True,38,4,True,False,False,False,False
24,322,1,HVT,high_intent,business,False,43,3,False,False,False,False,False
25,339,1,HVT,medium_intent,international,False,50,3,True,False,False,False,False
26,356,1,HVT,high_intent,international,False,41,3,False,False,False,False,False
27,366,1,HVT,medium_intent,business,False,39,4,False,False,False,False,True
28,386,1,HVT,high_intent,tourist,True,45,4,True,False,False,False,False
29,399,1,HVT,high_intent,vacation,False,41,3,False,False,False,False,False
30,400,1,HVT,high_intent,international,False,56,4,False,False,False,False,False
31,412,1,HVT,high_intent,international,False,47,3,True,False,False,False,False
32,415,1,HVT,browsing,international,False,41,4,False,False,False,False,False
33,418,1,HVT,high_intent,business,False,39,4,False,False,False,False,False
34,429,1,HVT,browsing,vacation,False,55,3,False,False,False,False,False
35,431,1,HVT,high_intent,business,False,52,4,True,False,False,False,False
36,451,1,HVT,high_intent,international,False,49,4,False,False,False,False,False
37,467,1,HVT,high_intent,tourist,False,40,3,False,False,False,False,False
38,475,1,HVT,browsing,vacation,True,55,4,True,False,False,False,False
39,487,1,HVT,browsing,international,False,52,3,True,False,False,False,False
40,497,1,HVT,medium_intent,business,False,51,4,False,False,False,False,False
41,507,1,HVT,high_intent,business,False,43,4,False,False,False,False,False
42,520,1,HVT,high_intent,tourist,True,49,4,True,False,False,False,False
43,521,1,HVT,high_intent,vacation,False,56,4,False,False,False,False,False
44,540,1,HVT,medium_intent,tourist,False,49,4,False,False,False,False,True
45,549,1,HVT,high_intent,international,False,44,4,False,False,False,False,False
46,553,1,HVT,high_intent,international,False,47,3,False,False,False,False,True
47,557,1,HVT,high_intent,tourist,False,54,4,True,False,False,False,False
48,560,1,HVT,high_intent,vacation,False,41,3,False,False,False,False,False
49,575,1,HVT,high_intent,international,False,41,3,False,False,False,False,True
50,582,1,HVT,medium_intent,international,True,44,4,False,False,False,False,False
51,584,1,HVT,medium_intent,vacation,False,47,4,False,False,False,False,False
52,589,1,HVT,browsing,business,False,49,4,False,False,False,False,False
53,593,1,HVT,high_intent,vacation,False,39,3,False,False,False,False,False
54,612,1,HVT,medium_intent,business,False,42,3,False,False,False,False,True
55,636,1,HVT,medium_intent,vacation,False,40,3,False,False,False,False,False
56,656,1,HVT,high_intent,tourist,False,40,4,False,False,False,False,False
57,663,1,HVT,high_intent,vacation,True,39,4,False,False,False,False,False
58,673,1,HVT,medium_intent,tourist,False,53,3,False,False,False,False,False
59,678,1,HVT,high_intent,business,False,54,4,False,False,False,False,False
60,682,1,HVT,high_intent,business,False,57,3,False,False,False,False,False
61,683,1,HVT,high_intent,international,False,57,3,False,False,False,False,True
62,694,1,HVT,browsing,international,False,49,4,False,False,False,False,False
63,704,1,HVT,high_intent,vacation,False,42,4,False,False,False,False,False
64,711,1,HVT,medium_intent,vacation,False,54,3,False,False,False,False,False
65,712,1,HVT,high_intent,vacation,False,57,3,False,False,False,False,False
66,713,1,HVT,high_intent,international,False,52,3,True,False,False,False,False
67,718,1,HVT,high_intent,tourist,False,53,3,False,False,False,False,False
68,727,1,HVT,high_intent,vacation,False,38,3,False,False,False,False,False
69,737,1,HVT,browsing,business,False,41,4,False,False,False,False,False
70,774,1,HVT,high_intent,international,False,50,4,False,False,False,False,False
71,777,1,HVT,high_intent,international,False,47,3,False,False,False,False,False
72,787,1,HVT,high_intent,vacation,False,53,4,False,False,False,False,True
73,793,1,HVT,browsing,business,False,48,4,False,False,False,False,False
74,803,1,HVT,high_intent,business,True,48,4,False,False,False,False,False
75,831,1,HVT,high_intent,business,True,49,4,False,False,False,False,False
76,834,1,HVT,medium_intent,tourist,False,47,3,False,False,False,False,False
77,856,1,HVT,high_intent,international,False,57,4,False,False,False,False,False
78,865,1,HVT,high_intent,tourist,True,51,4,False,False,False,False,True
79,868,1,HVT,browsing,business,False,43,4,False,False,False,False,False
80,871,1,HVT,high_intent,international,False,42,4,False,False,False,False,False
81,880,1,HVT,high_intent,business,False,42,3,False,False,False,False,False
82,883,1,HVT,high_intent,tourist,False,53,3,False,False,False,False,False
83,894,1,HVT,high_intent,international,True,40,4,False,False,False,False,False
84,907,1,HVT,medium_intent,international,False,48,3,False,False,False,False,False
85,926,1,HVT,medium_intent,international,False,42,4,False,False,False,False,False
86,937,1,HVT,high_intent,vacation,False,56,4,False,False,False,False,False
87,939,1,HVT,medium_intent,tourist,False,39,3,False,False,False,False,False
88,957,1,HVT,high_intent,vacation,False,38,4,False,False,False,False,False
89,958,1,HVT,high_intent,vacation,False,51,4,True,False,False,False,False
90,961,1,HVT,medium_intent,business,False,55,4,False,False,False,False,False
91,979,1,HVT,high_intent,tourist,False,44,4,True,False,False,False,False
92,1042,1,HVT,high_intent,vacation,False,57,4,False,False,False,False,False
93,1051,1,HVT,medium_intent,international,False,48,4,False,False,False,False,False
94,1058,1,HVT,high_intent,vacation,False,39,3,False,False,False,False,False
95,1060,1,HVT,high_intent,tourist,True,53,3,True,False,False,False,False
96,1076,1,HVT,high_intent,international,False,57,4,False,False,False,False,False
97,1080,1,HVT,high_intent,international,False,54,4,True,False,False,False,True
98,1115,1,HVT,high_intent,international,False,44,3,False,False,False,False,False
99,1118,1,HVT,medium_intent,tourist,False,57,3,False,False,False,False,False
100,1119,1,HVT,high_intent,tourist,False,46,3,False,False,False,False,False
101,1123,1,HVT,high_intent,international,False,45,3,False,False,False,False,False
102,1130,1,HVT,high_intent,tourist,False,50,4,False,False,False,False,False
103,1149,1,HVT,medium_intent,business,False,49,3,False,False,False,False,False
104,1152,1,HVT,high_intent,tourist,False,54,3,False,False,False,False,False
105,1154,1,HVT,high_intent,international,False,52,4,False,False,False,False,False
106,1170,1,HVT,medium_intent,vacation,False,39,4,False,False,False,False,False
107,1190,1,HVT,medium_intent,business,False,43,3,True,False,False,False,False
108,1229,1,HVT,high_intent,vacation,False,47,3,False,False,False,False,False
109,1238,1,HVT,high_intent,international,False,45,4,False,False,False,False,False
110,1261,1,HVT,high_intent,business,False,41,3,True,False,False,False,False
111,1273,1,HVT,high_intent,tourist,False,53,4,True,False,False,False,False
112,1280,1,HVT,medium_intent,vacation,False,55,3,False,False,False,False,False
113,1288,1,HVT,high_intent,vacation,False,52,4,True,False,False,False,False
114,1290,1,HVT,high_intent,vacation,False,39,4,False,False,False,False,False
115,1306,1,HVT,high_intent,international,False,51,4,False,False,False,False,False
116,1308,1,HVT,high_intent,tourist,False,46,4,False,False,False,False,False
117,1315,1,HVT,high_intent,business,False,43,3,False,False,False,False,False
118,1319,1,HVT,high_intent,business,False,56,3,False,False,False,False,False
119,1327,1,HVT,medium_intent,vacation,True,45,4,False,False,False,False,False
120,1343,1,HVT,browsing,business,True,46,4,False,False,False,False,False
121,1362,1,HVT,high_intent,international,False,46,4,False,False,False,False,False
122,1381,1,HVT,browsing,international,False,56,4,False,False,False,False,False
123,1399,1,HVT,high_intent,business,False,49,4,False,False,False,False,False
124,1411,1,HVT,high_intent,international,False,45,3,False,False,False,False,False
125,1415,1,HVT,medium_intent,vacation,False,44,3,True,False,False,False,False
126,1442,1,HVT,medium_intent,tourist,False,38,3,True,False,False,False,False
127,1490,1,HVT,medium_intent,vacation,False,49,4,False,False,False,False,False
128,1495,1,HVT,high_intent,international,False,48,4,False,False,False,False,False
129,1501,1,Mission,high_intent,business,False,58,3,False,False,False,False,False
130,1511,1,Mission,high_intent,tourist,False,55,3,False,False,False,False,False
131,1540,1,Mission,medium_intent,business,False,60,2,False,False,False,False,False
132,1546,1,Mission,medium_intent,business,False,71,3,False,False,False,False,False
133,1548,1,Mission,browsing,business,False,69,3,False,False,False,False,False
134,1554,1,Mission,high_intent,tourist,True,78,3,False,False,False,False,False
135,1560,1,Mission,medium_intent,tourist,False,70,3,False,False,False,False,False
136,1567,1,Mission,high_intent,international,False,65,3,False,False,False,False,False
137,1568,1,Mission,high_intent,business,False,68,2,False,False,False,False,False
138,1573,1,Mission,medium_intent,business,True,75,2,False,False,False,False,False
139,1592,1,Mission,high_intent,tourist,False,65,3,False,False,False,False,False
140,1596,1,Mission,high_intent,tourist,False,70,2,True,False,False,False,False
141,1603,1,Mission,high_intent,business,False,67,2,False,False,False,False,False
142,1604,1,Mission,medium_intent,business,False,61,2,False,False,False,False,True
143,1605,1,Mission,high_intent,tourist,False,78,3,False,False,False,False,False
144,1619,1,Mission,medium_intent,tourist,False,76,3,False,False,False,False,False
145,1642,1,Mission,medium_intent,business,True,70,3,False,False,False,False,False
146,1660,1,Mission,high_intent,business,False,58,3,False,False,False,False,False
147,1665,1,Mission,medium_intent,tourist,False,68,2,False,False,False,False,False
148,1672,1,Mission,high_intent,business,False,69,2,False,False,False,False,False
149,1684,1,Mission,medium_intent,tourist,False,54,2,True,False,False,False,False
150,1698,1,Mission,high_intent,business,False,55,3,True,False,False,False,False
151,1722,1,Mission,medium_intent,tourist,False,61,3,False,False,False,False,False
152,1727,1,Mission,medium_intent,international,False,54,3,False,False,False,False,False
153,1739,1,Mission,medium_intent,tourist,False,73,3,False,False,False,False,False
154,1759,1,Mission,high_intent,tourist,False,67,2,True,False,False,False,False
155,1768,1,Mission,browsing,business,False,73,2,False,False,False,False,False
156,1775,1,Mission,medium_intent,international,False,56,3,False,False,False,False,False
157,1787,1,Mission,high_intent,tourist,False,67,3,False,False,False,False,False
158,1789,1,Mission,high_intent,business,False,65,2,False,False,False,False,False
159,1801,1,Mission,medium_intent,business,False,77,3,False,False,False,False,False
160,1823,1,Mission,high_intent,tourist,False,73,3,False,False,False,False,False
161,1851,1,Mission,high_intent,business,False,63,2,False,False,False,False,False
162,1857,1,Mission,high_intent,business,False,56,3,False,False,False,False,True
163,1859,1,Mission,medium_intent,business,False,64,3,False,False,False,False,False
164,1864,1,Mission,high_intent,tourist,True,52,3,False,False,False,False,False
165,1868,1,Mission,high_intent,business,False,67,3,False,False,False,False,False
166,1872,1,Mission,high_intent,tourist,True,64,3,False,False,False,False,False
