user_id,cohort,tenure_days,acquisition_channel,city_tier,avg_booking_value,joined_week
1,HVT,834,direct,tier1,641.88,2
2,HVT,408,direct,tier1,635.47,1
3,HVT,784,organic,tier1,571.51,2
4,HVT,418,direct,tier1,639.36,4
5,HVT,405,organic,tier2,648.6,1
6,HVT,343,organic,tier2,596.04,2
7,HVT,524,direct,tier1,606.13,3
8,HVT,532,organic,tier1,640.72,1
9,HVT,567,direct,tier2,650.57,3
10,HVT,771,direct,tier1,573.09,2
11,HVT,476,direct,tier1,654.24,4
12,HVT,464,organic,tier2,584.64,3
13,HVT,394,organic,tier1,628.79,2
14,HVT,726,direct,tier1,614.27,3
15,HVT,835,direct,tier2,651.9,1
16,HVT,414,direct,tier2,608.23,1
17,HVT,396,organic,tier1,633.37,4
18,HVT,838,organic,tier1,594.75,2
19,HVT,754,organic,resort,657.34,4
20,HVT,550,direct,tier1,618.94,1
21,HVT,228,direct,tier1,630.6,4
22,HVT,790,direct,resort,606.29,4
23,HVT,721,organic,tier1,635.83,1
24,HVT,878,organic,tier2,579.59,4
25,HVT,341,organic,tier1,662.87,3
26,HVT,692,direct,tier1,654.64,3
27,HVT,834,direct,tier1,605.53,2
28,HVT,732,direct,tier2,616.87,1
29,HVT,551,organic,tier1,574.29,1
30,HVT,267,organic,tier1,665.26,2
31,HVT,311,organic,tier1,594.77,4
32,HVT,396,direct,tier2,608.01,3
33,HVT,628,organic,tier1,593.07,1
34,HVT,526,direct,tier1,626.74,1
35,HVT,252,direct,tier1,575.22,1
36,HVT,518,direct,tier1,596.1,4
37,HVT,399,direct,resort,592.59,4
38,HVT,596,direct,tier1,578.14,4
39,HVT,542,organic,resort,614.74,1
40,HVT,869,direct,tier1,608.37,3
41,HVT,291,direct,tier1,587.37,4
42,HVT,323,organic,tier1,596.1,2
43,HVT,257,organic,tier1,573.56,1
44,HVT,275,direct,tier1,608.75,4
45,HVT,398,organic,tier1,584.84,1
46,HVT,579,organic,resort,596.77,4
47,HVT,338,direct,tier2,590.09,1
48,HVT,773,direct,tier2,574.21,4
49,HVT,694,direct,tier1,663.56,1
50,HVT,370,direct,tier1,635.33,2
51,HVT,593,direct,tier1,625.8,1
52,HVT,814,direct,resort,633.56,3
53,HVT,447,direct,tier2,592.16,4
54,HVT,314,organic,resort,599.82,1
55,HVT,189,organic,tier1,575.8,2
56,HVT,698,organic,tier1,660.84,1
57,HVT,430,organic,tier2,584.16,3
58,HVT,806,direct,tier2,660.69,1
59,HVT,317,organic,tier1,656.53,2
60,HVT,458,organic,tier1,639.52,2
61,HVT,883,organic,resort,593.39,1
62,HVT,274,organic,tier2,572.92,3
63,HVT,313,organic,tier1,641.85,4
64,HVT,754,direct,tier1,576.0,2
65,HVT,738,direct,tier2,626.16,2
66,HVT,620,direct,tier1,599.04,1
67,HVT,546,direct,tier1,634.51,3
68,HVT,753,organic,tier1,660.1,2
69,HVT,346,direct,resort,571.01,3
70,HVT,601,direct,tier2,584.3,1
71,HVT,571,direct,resort,590.55,4
72,HVT,538,organic,tier1,590.6,2
73,HVT,588,organic,tier2,654.03,3
74,HVT,539,organic,tier2,661.43,1
75,HVT,447,direct,tier2,572.34,4
76,HVT,533,organic,resort,628.5,1
77,HVT,574,direct,tier2,572.95,4
78,HVT,181,direct,tier2,611.21,3
79,HVT,818,organic,tier1,639.73,3
80,HVT,699,organic,resort,600.81,3
81,HVT,747,direct,tier1,610.13,4
82,HVT,873,direct,tier2,608.71,1
83,HVT,491,organic,tier1,611.07,3
84,HVT,656,organic,resort,635.37,4
85,HVT,353,direct,tier2,619.53,3
86,HVT,275,direct,tier2,590.77,2
87,HVT,330,direct,tier1,592.77,4
88,HVT,805,direct,resort,609.54,2
89,HVT,893,organic,resort,608.08,2
90,HVT,851,direct,tier1,645.53,2
91,HVT,360,organic,tier1,623.68,1
92,HVT,647,direct,resort,634.57,3
93,HVT,633,organic,resort,657.28,4
94,HVT,640,organic,tier1,651.61,3
95,HVT,713,organic,tier1,595.71,1
96,HVT,472,direct,tier2,601.77,1
97,HVT,321,direct,tier1,606.43,2
98,HVT,399,direct,resort,608.86,4
99,HVT,605,direct,tier1,650.92,4
100,HVT,778,direct,resort,615.72,3
101,HVT,485,organic,resort,621.78,2
102,HVT,679,direct,tier2,611.66,1
103,HVT,578,organic,resort,640.17,4
104,HVT,310,direct,resort,627.09,1
105,HVT,265,organic,tier1,654.27,2
106,HVT,231,organic,resort,600.93,4
107,HVT,514,organic,resort,596.07,4
108,HVT,438,direct,resort,570.48,1
109,HVT,538,direct,tier1,645.81,1
110,HVT,211,direct,tier1,651.54,2
111,HVT,424,direct,resort,634.76,2
112,HVT,656,organic,tier2,585.15,1
113,HVT,347,organic,tier1,625.78,3
114,HVT,769,organic,resort,661.65,2
115,HVT,257,direct,tier1,637.5,3
116,HVT,880,direct,tier1,602.89,4
117,HVT,857,organic,tier1,618.59,3
118,HVT,192,organic,resort,579.0,3
119,HVT,830,organic,tier1,611.62,3
120,HVT,810,organic,resort,611.63,3
121,HVT,510,direct,tier1,596.14,4
122,HVT,429,organic,resort,601.82,4
123,HVT,512,direct,resort,589.53,3
124,HVT,528,organic,tier2,623.52,2
125,HVT,267,direct,resort,616.87,2
126,HVT,887,organic,resort,612.88,1
127,HVT,275,organic,tier1,608.55,2
128,HVT,493,organic,resort,623.29,3
129,HVT,615,organic,tier2,638.06,3
130,HVT,493,organic,tier1,580.49,2
131,HVT,503,direct,tier1,587.5,4
132,HVT,463,organic,tier1,650.89,3
133,HVT,412,organic,tier1,598.45,2
134,HVT,460,direct,tier1,623.28,2
135,HVT,833,organic,tier1,654.85,3
136,HVT,660,organic,resort,602.25,1
137,HVT,438,organic,tier1,649.85,4
138,HVT,683,direct,tier1,583.56,3
139,HVT,267,direct,tier1,623.74,4
140,HVT,800,direct,resort,613.11,4
141,HVT,484,organic,tier2,624.79,1
142,HVT,804,direct,tier1,630.41,3
143,HVT,856,direct,tier1,592.28,1
144,HVT,340,direct,resort,613.11,4
145,HVT,478,direct,tier1,597.05,3
146,HVT,899,organic,tier1,636.53,3
147,HVT,820,direct,resort,579.91,2
148,HVT,843,direct,tier2,650.3,1
149,HVT,241,direct,tier2,627.4,3
150,HVT,629,direct,resort,636.66,4
151,HVT,458,organic,resort,576.51,1
152,HVT,622,organic,tier2,571.12,2
153,HVT,870,direct,tier2,625.54,2
154,HVT,661,organic,tier2,586.51,4
155,HVT,830,organic,tier1,615.03,4
156,HVT,521,organic,tier1,653.37,3
157,HVT,601,organic,tier2,634.08,4
158,HVT,743,direct,resort,577.27,3
159,HVT,511,direct,resort,654.08,1
160,HVT,853,organic,resort,573.92,3
161,HVT,817,organic,resort,643.71,2
162,HVT,453,direct,tier2,611.88,4
163,HVT,304,direct,tier1,638.74,3
164,HVT,744,direct,resort,577.78,1
165,HVT,652,direct,tier1,617.84,3
166,HVT,701,organic,resort,651.1,4
167,HVT,429,organic,tier1,606.49,2
168,HVT,251,organic,resort,602.17,3
