inv_id,hotel_id,rooms_available,booking_success,failure_reason,logged_at,week_number
INV0000001,HTL0090,7,True,,2024-02-27 11:00:00,9
INV0000002,HTL0051,15,True,,2024-05-22 20:50:00,21
INV0000003,HTL0044,47,False,timeout,2024-03-16 16:33:00,11
INV0000004,HTL0108,34,True,,2024-01-20 07:55:00,3
INV0000005,HTL0068,13,True,,2024-06-11 06:44:00,24
INV0000006,HTL0060,40,True,,2024-03-02 16:06:00,9
INV0000007,HTL0104,26,True,,2024-01-01 08:58:00,1
INV0000008,HTL0075,43,True,,2024-05-29 13:32:00,22
INV0000009,HTL0058,47,True,,2024-02-04 09:40:00,5
INV0000010,HTL0036,0,False,no_inventory,2024-01-05 02:36:00,1
INV0000011,HTL0084,38,True,,2024-04-12 00:03:00,15
INV0000012,HTL0076,49,True,,2024-01-25 23:43:00,4
INV0000013,HTL0117,42,True,,2024-06-28 18:01:00,26
INV0000014,HTL0110,29,True,,2024-03-18 02:20:00,12
INV0000015,HTL0042,34,True,,2024-02-24 07:41:00,8
INV0000016,HTL0047,9,True,,2024-06-25 04:37:00,26
INV0000017,HTL0059,30,True,,2024-04-10 14:34:00,15
INV0000018,HTL0043,11,True,,2024-06-17 16:12:00,25
INV0000019,HTL0114,39,True,,2024-04-18 06:42:00,16
INV0000020,HTL0009,34,True,,2024-04-20 22:39:00,16
INV0000021,HTL0065,33,True,,2024-05-04 05:22:00,18
INV0000022,HTL0071,38,True,,2024-02-16 22:44:00,7
INV0000023,HTL0043,31,True,,2024-05-05 18:22:00,18
INV0000024,HTL0003,11,True,,2024-05-10 20:08:00,19
INV0000025,HTL0104,44,True,,2024-06-28 09:43:00,26
INV0000026,HTL0003,27,True,,2024-02-26 03:38:00,9
INV0000027,HTL0027,18,True,,2024-05-07 15:52:00,19
INV0000028,HTL0026,23,True,,2024-04-20 17:31:00,16
INV0000029,HTL0001,19,True,,2024-06-29 09:01:00,26
INV0000030,HTL0003,21,True,,2024-04-08 21:04:00,15
INV0000031,HTL0067,10,True,,2024-02-17 22:43:00,7
INV0000032,HTL0072,27,True,,2024-05-22 13:33:00,21
INV0000033,HTL0039,44,True,,2024-03-21 04:25:00,12
INV0000034,HTL0055,39,True,,2024-01-30 15:34:00,5
INV0000035,HTL0096,19,True,,2024-01-13 21:51:00,2
INV0000036,HTL0069,4,True,,2024-05-06 02:59:00,19
INV0000037,HTL0078,39,False,timeout,2024-05-08 13:02:00,19
INV0000038,HTL0032,6,True,,2024-02-28 11:08:00,9
INV0000039,HTL0109,21,True,,2024-03-31 03:35:00,13
INV0000040,HTL0087,36,True,,2024-03-18 22:28:00,12
INV0000041,HTL0101,40,True,,2024-03-20 11:06:00,12
INV0000042,HTL0106,28,True,,2024-05-06 04:12:00,19
INV0000043,HTL0092,11,True,,2024-03-27 17:18:00,13
INV0000044,HTL0096,28,True,,2024-05-12 00:24:00,19
INV0000045,HTL0019,35,True,,2024-01-27 08:18:00,4
INV0000046,HTL0009,34,True,,2024-01-30 01:03:00,5
INV0000047,HTL0110,42,True,,2024-03-22 23:43:00,12
INV0000048,HTL0045,21,True,,2024-06-28 14:37:00,26
INV0000049,HTL0117,17,True,,2024-02-28 19:56:00,9
INV0000050,HTL0063,21,True,,2024-01-31 23:55:00,5
INV0000051,HTL0013,18,True,,2024-03-27 04:09:00,13
INV0000052,HTL0117,33,True,,2024-03-30 12:27:00,13
INV0000053,HTL0006,8,True,,2024-04-24 13:51:00,17
INV0000054,HTL0007,9,True,,2024-06-07 04:44:00,23
INV0000055,HTL0096,18,True,,2024-01-20 05:20:00,3
INV0000056,HTL0054,37,True,,2024-04-10 11:07:00,15
INV0000057,HTL0069,8,True,,2024-04-22 04:52:00,17
INV0000058,HTL0043,27,True,,2024-01-15 07:20:00,3
INV0000059,HTL0105,29,True,,2024-02-07 09:27:00,6
INV0000060,HTL0072,24,True,,2024-01-19 04:08:00,3
INV0000061,HTL0079,17,True,,2024-03-17 12:13:00,11
INV0000062,HTL0021,25,True,,2024-02-13 08:53:00,7
INV0000063,HTL0065,18,True,,2024-05-18 13:31:00,20
INV0000064,HTL0059,26,False,api_error,2024-02-12 07:55:00,7
INV0000065,HTL0016,35,True,,2024-01-12 04:26:00,2
INV0000066,HTL0055,3,True,,2024-04-26 01:15:00,17
INV0000067,HTL0090,48,True,,2024-06-11 15:38:00,24
INV0000068,HTL0091,25,True,,2024-03-14 04:03:00,11
INV0000069,HTL0042,44,False,api_error,2024-04-08 19:00:00,15
INV0000070,HTL0104,2,True,,2024-01-26 22:58:00,4
INV0000071,HTL0120,35,True,,2024-01-02 06:17:00,1
INV0000072,HTL0109,6,True,,2024-03-21 04:21:00,12
INV0000073,HTL0080,9,True,,2024-06-30 15:59:00,26
INV0000074,HTL0037,44,True,,2024-01-26 08:35:00,4
INV0000075,HTL0031,3,True,,2024-02-01 05:42:00,5
INV0000076,HTL0079,6,True,,2024-05-05 07:46:00,18
INV0000077,HTL0022,21,True,,2024-03-20 13:07:00,12
INV0000078,HTL0011,29,True,,2024-06-20 04:44:00,25
INV0000079,HTL0111,21,True,,2024-06-26 13:59:00,26
INV0000080,HTL0060,28,True,,2024-02-10 08:14:00,6
INV0000081,HTL0096,10,True,,2024-04-21 14:12:00,16
INV0000082,HTL0090,15,False,timeout,2024-04-14 06:52:00,15
INV0000083,HTL0093,43,True,,2024-05-29 21:51:00,22
INV0000084,HTL0022,5,True,,2024-02-17 05:49:00,7
INV0000085,HTL0044,36,True,,2024-02-28 16:12:00,9
INV0000086,HTL0075,12,True,,2024-01-25 18:47:00,4
INV0000087,HTL0068,32,True,,2024-05-22 09:48:00,21
INV0000088,HTL0061,46,False,timeout,2024-05-16 22:52:00,20
INV0000089,HTL0059,7,True,,2024-05-29 01:29:00,22
INV0000090,HTL0025,10,True,,2024-05-23 04:14:00,21
INV0000091,HTL0107,32,True,,2024-03-23 11:45:00,12
INV0000092,HTL0067,32,True,,2024-06-23 18:34:00,25
INV0000093,HTL0066,43,True,,2024-06-04 22:52:00,23
INV0000094,HTL0020,47,True,,2024-05-22 06:40:00,21
INV0000095,HTL0073,39,True,,2024-02-18 05:13:00,7
INV0000096,HTL0065,26,True,,2024-01-26 13:15:00,4
INV0000097,HTL0108,45,True,,2024-01-05 11:11:00,1
INV0000098,HTL0106,38,True,,2024-02-12 19:59:00,7
INV0000099,HTL0039,17,True,,2024-06-21 05:18:00,25
INV0000100,HTL0084,44,True,,2024-05-10 09:24:00,19
INV0000101,HTL0058,31,True,,2024-06-07 02:06:00,23
INV0000102,HTL0030,44,True,,2024-06-02 18:54:00,22
INV0000103,HTL0010,40,True,,2024-05-01 15:02:00,18
INV0000104,HTL0119,23,True,,2024-03-20 07:13:00,12
INV0000105,HTL0046,21,True,,2024-01-27 00:19:00,4
INV0000106,HTL0042,49,True,,2024-02-24 16:15:00,8
INV0000107,HTL0105,2,True,,2024-01-31 23:06:00,5
INV0000108,HTL0040,2,True,,2024-01-27 02:53:00,4
INV0000109,HTL0089,13,True,,2024-04-08 01:55:00,15
INV0000110,HTL0029,31,True,,2024-06-05 02:01:00,23
INV0000111,HTL0050,8,True,,2024-04-19 14:59:00,16
INV0000112,HTL0007,15,True,,2024-03-17 03:18:00,11
INV0000113,HTL0096,24,True,,2024-05-09 07:57:00,19
INV0000114,HTL0102,4,True,,2024-02-05 17:46:00,6
INV0000115,HTL0066,12,True,,2024-05-05 08:37:00,18
INV0000116,HTL0071,30,True,,2024-01-26 20:43:00,4
INV0000117,HTL0089,20,True,,2024-02-11 06:55:00,6
INV0000118,HTL0004,39,True,,2024-05-04 10:58:00,18
INV0000119,HTL0015,8,True,,2024-04-22 15:02:00,17
