payment_id,booking_id,payment_method,payment_status,amount,week_number
PAY0000001,BKG0000001,upi,success,4945.99,9
PAY0000002,BKG0000002,wallet,success,7834.61,17
PAY0000003,BKG0000003,upi,success,9757.76,11
PAY0000004,BKG0000004,upi,success,3506.12,2
PAY0000005,BKG0000005,card,success,3010.0,13
PAY0000006,BKG0000006,card,success,3012.09,8
PAY0000007,BKG0000007,card,success,15742.36,6
PAY0000008,BKG0000008,upi,success,23831.94,23
PAY0000009,BKG0000009,card,success,34416.96,12
PAY0000010,BKG0000010,upi,success,15237.48,20
PAY0000011,BKG0000011,upi,success,2395.02,15
PAY0000012,BKG0000012,card,refunded,3381.02,26
PAY0000013,BKG0000013,netbanking,success,3876.87,14
PAY0000014,BKG0000014,upi,success,13624.79,17
PAY0000015,BKG0000015,upi,success,5436.23,7
PAY0000016,BKG0000016,upi,success,2113.08,18
PAY0000017,BKG0000017,wallet,success,20729.71,7
PAY0000018,BKG0000018,upi,success,7996.48,8
PAY0000019,BKG0000019,card,success,17025.13,20
PAY0000020,BKG0000020,upi,success,9663.45,4
PAY0000021,BKG0000021,card,success,15264.81,8
PAY0000022,BKG0000022,upi,success,14345.65,26
PAY0000023,BKG0000023,card,success,3802.09,10
PAY0000024,BKG0000024,upi,success,10509.61,23
PAY0000025,BKG0000025,card,success,7498.41,22
PAY0000026,BKG0000026,upi,success,2420.69,14
PAY0000027,BKG0000027,upi,success,4823.25,7
PAY0000028,BKG0000028,netbanking,success,16677.1,19
PAY0000029,BKG0000029,upi,success,6067.09,8
PAY0000030,BKG0000030,upi,success,11550.49,1
PAY0000031,BKG0000031,upi,success,5337.33,17
PAY0000032,BKG0000032,upi,success,4389.38,4
PAY0000033,BKG0000033,netbanking,success,8421.92,1
PAY0000034,BKG0000034,card,success,2936.11,14
PAY0000035,BKG0000035,upi,success,8115.74,2
PAY0000036,BKG0000036,netbanking,success,19084.98,17
PAY0000037,BKG0000037,card,success,6323.06,12
PAY0000038,BKG0000038,upi,success,3049.55,16
PAY0000039,BKG0000039,wallet,failed,15468.84,24
PAY0000040,BKG0000040,card,success,3217.43,1
PAY0000041,BKG0000041,card,success,12577.78,13
PAY0000042,BKG0000042,wallet,success,2726.95,5
PAY0000043,BKG0000043,upi,success,3852.27,6
PAY0000044,BKG0000044,upi,success,7542.31,14
PAY0000045,BKG0000045,card,success,15802.96,20
PAY0000046,BKG0000046,card,success,4132.25,4
PAY0000047,BKG0000047,netbanking,success,11257.74,2
PAY0000048,BKG0000048,upi,success,4453.72,6
PAY0000049,BKG0000049,upi,success,4526.26,12
PAY0000050,BKG0000050,upi,success,6243.02,10
PAY0000051,BKG0000051,upi,success,3604.77,1
PAY0000052,BKG0000052,wallet,success,4165.03,21
PAY0000053,BKG0000053,upi,success,8857.68,19
PAY0000054,BKG0000054,card,success,8890.42,19
PAY0000055,BKG0000055,card,success,21027.25,22
PAY0000056,BKG0000056,card,success,4469.48,10
PAY0000057,BKG0000057,upi,success,16025.51,2
PAY0000058,BKG0000058,upi,success,8970.92,11
PAY0000059,BKG0000059,card,success,4143.4,4
PAY0000060,BKG0000060,netbanking,success,2753.47,9
PAY0000061,BKG0000061,netbanking,success,2371.76,10
PAY0000062,BKG0000062,card,success,14864.06,2
PAY0000063,BKG0000063,card,success,6116.79,20
PAY0000064,BKG0000064,upi,success,7749.42,24
PAY0000065,BKG0000065,netbanking,success,4766.07,25
PAY0000066,BKG0000066,wallet,success,12618.97,1
PAY0000067,BKG0000067,card,success,22603.91,12
PAY0000068,BKG0000068,upi,success,5297.77,2
PAY0000069,BKG0000069,card,success,5047.98,5
PAY0000070,BKG0000070,upi,success,5003.33,2
PAY0000071,BKG0000071,upi,success,23693.95,26
PAY0000072,BKG0000072,card,success,17468.0,16
PAY0000073,BKG0000073,upi,success,3595.45,6
PAY0000074,BKG0000074,upi,success,4468.24,11
PAY0000075,BKG0000075,wallet,success,4709.25,16
PAY0000076,BKG0000076,card,success,41103.99,26
PAY0000077,BKG0000077,upi,success,28067.98,15
PAY0000078,BKG0000078,upi,success,11206.6,26
PAY0000079,BKG0000079,wallet,success,6691.01,26
PAY0000080,BKG0000080,wallet,success,2170.09,13
PAY0000081,BKG0000081,card,success,2879.64,3
PAY0000082,BKG0000082,wallet,success,5147.02,14
PAY0000083,BKG0000083,upi,success,4707.3,11
PAY0000084,BKG0000084,wallet,success,25051.7,18
PAY0000085,BKG0000085,upi,success,8714.05,5
PAY0000086,BKG0000086,netbanking,success,14461.14,19
PAY0000087,BKG0000087,upi,success,7954.66,19
PAY0000088,BKG0000088,upi,success,3877.73,12
PAY0000089,BKG0000089,netbanking,success,18629.98,22
PAY0000090,BKG0000090,card,success,4326.69,3
PAY0000091,BKG0000091,card,success,4812.53,14
PAY0000092,BKG0000092,upi,success,7060.66,5
PAY0000093,BKG0000093,upi,success,4340.3,19
PAY0000094,BKG0000094,upi,success,4734.63,15
PAY0000095,BKG0000095,upi,success,5857.03,18
PAY0000096,BKG0000096,card,success,6567.79,19
PAY0000097,BKG0000097,card,success,32545.72,18
PAY0000098,BKG0000098,upi,failed,6246.13,5
PAY0000099,BKG0000099,netbanking,refunded,4634.02,10
PAY0000100,BKG0000100,wallet,success,8568.9,21
PAY0000101,BKG0000101,card,success,11219.59,26
PAY0000102,BKG0000102,card,success,8390.45,6
PAY0000103,BKG0000103,netbanking,success,20119.49,7
PAY0000104,BKG0000104,netbanking,success,7813.62,26
PAY0000105,BKG0000105,card,success,22869.89,10
PAY0000106,BKG0000106,netbanking,success,5030.34,7
PAY0000107,BKG0000107,upi,success,3888.25,4
PAY0000108,BKG0000108,card,success,17166.82,24
PAY0000109,BKG0000109,upi,success,5408.1,10
PAY0000110,BKG0000110,upi,success,5284.69,5
PAY0000111,BKG0000111,upi,success,3052.15,12
PAY0000112,BKG0000112,upi,success,4146.54,15
PAY0000113,BKG0000113,netbanking,success,3014.08,11
PAY0000114,BKG0000114,wallet,success,9890.06,23
PAY0000115,BKG0000115,upi,success,11609.05,4
PAY0000116,BKG0000116,wallet,success,7751.27,15
PAY0000117,BKG0000117,card,success,5100.99,11
PAY0000118,BKG0000118,upi,success,4473.7,19
PAY0000119,BKG0000119,netbanking,success,20813.19,22
PAY0000120,BKG0000120,upi,success,13735.39,10
PAY0000121,BKG0000121,card,failed,4578.4,7
PAY0000122,BKG0000122,upi,success,35265.11,14
PAY0000123,BKG0000123,card,success,7816.41,22
PAY0000124,BKG0000124,netbanking,success,5391.31,10
PAY0000125,BKG0000125,card,success,7639.69,17
PAY0000126,BKG0000126,upi,success,6821.91,2
PAY0000127,BKG0000127,upi,success,29642.47,10
PAY0000128,BKG0000128,upi,success,31207.55,20
PAY0000129,BKG0000129,upi,failed,10980.52,13
PAY0000130,BKG0000130,upi,success,7626.15,21
PAY0000131,BKG0000131,upi,success,4157.45,14
PAY0000132,BKG0000132,netbanking,success,3952.96,1
PAY0000133,BKG0000133,netbanking,success,5627.24,6
PAY0000134,BKG0000134,wallet,success,18663.26,6
PAY0000135,BKG0000135,wallet,success,12764.72,4
PAY0000136,BKG0000136,netbanking,success,14039.97,7
PAY0000137,BKG0000137,upi,refunded,5920.2,17
PAY0000138,BKG0000138,netbanking,success,19064.75,11
PAY0000139,BKG0000139,wallet,success,9892.03,17
PAY0000140,BKG0000140,wallet,success,22964.49,15
PAY0000141,BKG0000141,wallet,success,26658.46,15
PAY0000142,BKG0000142,upi,success,5364.24,4
PAY0000143,BKG0000143,card,failed,16491.41,17
PAY0000144,BKG0000144,wallet,success,5041.69,26
PAY0000145,BKG0000145,upi,refunded,3922.79,15
PAY0000146,BKG0000146,card,success,8020.85,18
PAY0000147,BKG0000147,upi,success,3033.92,7
PAY0000148,BKG0000148,card,success,5124.58,1
PAY0000149,BKG0000149,card,success,5447.5,13
PAY0000150,BKG0000150,wallet,success,6560.89,21
PAY0000151,BKG0000151,wallet,success,3824.13,18
PAY0000152,BKG0000152,netbanking,success,57215.35,23
PAY0000153,BKG0000153,upi,success,6280.29,7
PAY0000154,BKG0000154,upi,success,3864.97,4
PAY0000155,BKG0000155,netbanking,success,12669.3,9
PAY0000156,BKG0000156,wallet,success,5546.86,10
PAY0000157,BKG0000157,upi,failed,10194.17,14
PAY0000158,BKG0000158,card,success,9070.26,22
PAY0000159,BKG0000159,upi,failed,22400.88,4
PAY0000160,BKG0000160,netbanking,success,6066.9,1
PAY0000161,BKG0000161,card,success,5786.47,9
PAY0000162,BKG0000162,upi,failed,3725.2,9
PAY0000163,BKG0000163,upi,success,6192.56,8
PAY0000164,BKG0000164,upi,success,3385.47,3
PAY0000165,BKG0000165,card,success,2605.09,5
PAY0000166,BKG0000166,upi,success,3601.71,8
PAY0000167,BKG0000167,card,failed,3267.38,5
PAY0000168,BKG0000168,upi,success,7475.2,6
PAY0000169,BKG0000169,upi,success,8403.7,9
PAY0000170,BKG0000170,netbanking,success,4452.72,19
PAY0000171,BKG0000171,card,failed,24964.33,12
PAY0000172,BKG0000172,upi,success,3105.2,10
PAY0000173,BKG0000173,netbanking,success,7868.39,11
PAY0000174,BKG0000174,card,success,5933.75,26
PAY0000175,BKG0000175,upi,success,4897.64,4
PAY0000176,BKG0000176,upi,success,25715.81,7
PAY0000177,BKG0000177,card,success,4737.27,26
PAY0000178,BKG0000178,card,success,10146.61,23
PAY0000179,BKG0000179,upi,success,11219.69,19
PAY0000180,BKG0000180,upi,success,4954.17,10
PAY0000181,BKG0000181,upi,success,8691.21,8
PAY0000182,BKG0000182,card,success,7262.09,16
PAY0000183,BKG0000183,card,failed,30256.37,17
PAY0000184,BKG0000184,wallet,success,8912.82,21
PAY0000185,BKG0000185,netbanking,failed,4526.25,8
PAY0000186,BKG0000186,upi,success,6263.17,26
PAY0000187,BKG0000187,netbanking,success,4314.87,9
PAY0000188,BKG0000188,upi,success,5641.82,6
PAY0000189,BKG0000189,upi,success,3124.92,25
PAY0000190,BKG0000190,netbanking,success,4937.2,7
PAY0000191,BKG0000191,upi,success,4636.53,13
PAY0000192,BKG0000192,upi,success,19688.21,7
PAY0000193,BKG0000193,upi,success,4566.88,4
PAY0000194,BKG0000194,wallet,success,5592.79,9
PAY0000195,BKG0000195,upi,success,6121.71,22
PAY0000196,BKG0000196,netbanking,success,4461.58,1
PAY0000197,BKG0000197,card,success,3344.12,13
PAY0000198,BKG0000198,card,success,2302.61,8
PAY0000199,BKG0000199,wallet,success,3317.16,2
PAY0000200,BKG0000200,netbanking,success,19936.06,22
PAY0000201,BKG0000201,card,success,27748.71,8
PAY0000202,BKG0000202,card,success,3405.91,2
PAY0000203,BKG0000203,upi,success,7283.83,9
PAY0000204,BKG0000204,wallet,success,3044.45,1
PAY0000205,BKG0000205,upi,success,44547.69,21
PAY0000206,BKG0000206,netbanking,success,7980.89,1
PAY0000207,BKG0000207,card,success,10850.42,12
PAY0000208,BKG0000208,card,success,4030.81,7
PAY0000209,BKG0000209,upi,success,18232.94,17
PAY0000210,BKG0000210,card,success,2763.7,10
PAY0000211,BKG0000211,card,success,28812.55,4
PAY0000212,BKG0000212,upi,success,6187.51,20
PAY0000213,BKG0000213,card,success,21966.09,5
PAY0000214,BKG0000214,upi,success,14803.27,15
PAY0000215,BKG0000215,upi,success,6070.1,9
PAY0000216,BKG0000216,upi,success,5363.39,22
PAY0000217,BKG0000217,upi,success,23479.32,3
PAY0000218,BKG0000218,upi,success,30484.44,3
PAY0000219,BKG0000219,wallet,success,5699.75,21
PAY0000220,BKG0000220,card,success,5379.91,1
PAY0000221,BKG0000221,upi,success,4205.44,3
PAY0000222,BKG0000222,upi,success,4543.8,7
PAY0000223,BKG0000223,card,success,4750.55,8
PAY0000224,BKG0000224,upi,failed,8395.33,19
PAY0000225,BKG0000225,upi,success,22352.62,11
PAY0000226,BKG0000226,upi,success,36942.33,22
PAY0000227,BKG0000227,upi,success,33491.23,22
PAY0000228,BKG0000228,netbanking,success,3906.13,14
PAY0000229,BKG0000229,upi,failed,27291.07,25
PAY0000230,BKG0000230,upi,success,13797.39,11
PAY0000231,BKG0000231,card,success,5205.91,1
PAY0000232,BKG0000232,upi,success,14365.43,23
PAY0000233,BKG0000233,wallet,success,6355.61,16
PAY0000234,BKG0000234,upi,success,7998.23,12
