log_id,hotel_id,algorithm_version,base_price,computed_price,multiplier,logged_at,week_number
LOG0000001,HTL0004,v1.2,4068.11,3909.05,0.9609,2024-04-12 18:32:00,15
LOG0000002,HTL0008,v1.3_buggy,7240.23,9423.88,1.3016,2024-06-22 09:23:00,25
LOG0000003,HTL0026,v1.2,3482.29,3944.74,1.1328,2024-01-16 13:25:00,3
LOG0000004,HTL0050,v1.3_buggy,4810.03,6086.61,1.2654,2024-05-17 03:14:00,20
LOG0000005,HTL0060,v1.2,3625.13,4161.65,1.148,2024-02-09 03:29:00,6
LOG0000006,HTL0066,v1.2,5493.47,6152.69,1.12,2024-01-08 19:26:00,2
LOG0000007,HTL0117,v1.3_buggy,9208.5,11510.62,1.25,2024-06-23 11:52:00,25
LOG0000008,HTL0055,v1.2,2861.13,3366.41,1.1766,2024-03-25 13:50:00,13
LOG0000009,HTL0022,v1.2,6267.67,6175.54,0.9853,2024-03-08 07:02:00,10
LOG0000010,HTL0011,v1.3_buggy,6305.6,7710.49,1.2228,2024-04-15 07:12:00,16
LOG0000011,HTL0012,v1.2,3182.57,3594.71,1.1295,2024-02-10 10:03:00,6
LOG0000012,HTL0093,v1.2,5454.77,5704.05,1.0457,2024-02-26 03:52:00,9
LOG0000013,HTL0006,v1.3_buggy,3915.11,5400.5,1.3794,2024-06-17 06:35:00,25
LOG0000014,HTL0063,v1.3_buggy,4509.37,6191.37,1.373,2024-05-28 09:48:00,22
LOG0000015,HTL0071,v1.3_buggy,4221.1,5413.56,1.2825,2024-05-15 15:22:00,20
LOG0000016,HTL0064,v1.2,3514.8,3579.12,1.0183,2024-03-23 09:44:00,12
LOG0000017,HTL0090,v1.3_buggy,5205.89,7147.17,1.3729,2024-05-11 22:20:00,19
LOG0000018,HTL0062,v1.2,5502.48,6333.9,1.1511,2024-01-12 14:25:00,2
LOG0000019,HTL0110,v1.2,6801.84,7816.67,1.1492,2024-01-08 00:28:00,2
LOG0000020,HTL0066,v1.3_buggy,7479.58,9944.1,1.3295,2024-06-09 21:37:00,23
LOG0000021,HTL0075,v1.2,6060.94,6476.11,1.0685,2024-02-28 15:24:00,9
LOG0000022,HTL0066,v1.3_buggy,3163.69,4356.72,1.3771,2024-06-09 08:54:00,23
LOG0000023,HTL0022,v1.2,3920.87,3963.22,1.0108,2024-03-12 17:37:00,11
LOG0000024,HTL0046,v1.2,4938.8,5733.95,1.161,2024-03-14 05:46:00,11
LOG0000025,HTL0035,v1.3_buggy,7307.94,9289.85,1.2712,2024-06-27 00:07:00,26
LOG0000026,HTL0037,v1.2,5633.43,5387.25,0.9563,2024-03-14 03:52:00,11
LOG0000027,HTL0098,v1.3_buggy,6972.13,8682.39,1.2453,2024-06-16 06:10:00,24
LOG0000028,HTL0018,v1.3_buggy,8124.14,10165.74,1.2513,2024-05-04 00:36:00,18
LOG0000029,HTL0047,v1.2,7806.47,7486.4,0.959,2024-03-07 02:19:00,10
LOG0000030,HTL0077,v1.2,3612.57,3770.08,1.0436,2024-02-12 02:33:00,7
LOG0000031,HTL0004,v1.3_buggy,3306.69,4097.32,1.2391,2024-05-24 14:15:00,21
LOG0000032,HTL0012,v1.3_buggy,5997.94,7691.76,1.2824,2024-05-21 13:12:00,21
LOG0000033,HTL0096,v1.2,7115.82,8346.86,1.173,2024-03-04 23:41:00,10
