user_id,signup_date,city,device_type,user_segment
USR000001,2022-03-18,Bangkok,desktop,new
USR000002,2023-09-09,Chennai,tablet,returning
USR000003,2023-12-07,Pune,mobile,returning
USR000004,2023-03-26,Hyderabad,mobile,returning
USR000005,2023-04-26,New York,mobile,returning
USR000006,2023-05-18,Bengaluru,desktop,new
USR000007,2023-08-12,Singapore,tablet,returning
USR000008,2023-09-19,Delhi,desktop,returning
USR000009,2022-02-08,Delhi,desktop,returning
USR000010,2022-06-22,Pune,mobile,new
USR000011,2023-10-04,Chennai,mobile,returning
USR000012,2022-05-07,Delhi,mobile,returning
USR000013,2022-10-26,,mobile,returning
USR000014,2023-11-30,Singapore,mobile,returning
USR000015,2023-12-02,Pune,mobile,new
USR000016,2023-09-28,Pune,mobile,returning
USR000017,2023-05-23,Bangkok,desktop,new
USR000018,2023-05-08,Delhi,mobile,returning
USR000019,2022-08-02,Bangkok,mobile,new
USR000020,2022-04-25,Chennai,mobile,returning
USR000021,2023-12-05,Dubai,mobile,returning
USR000022,2022-06-06,Goa,mobile,new
USR000023,2023-06-12,Hyderabad,mobile,returning
USR000024,2022-03-07,Bangkok,desktop,new
USR000025,2022-01-13,Bengaluru,mobile,returning
USR000026,2022-06-22,Dubai,mobile,returning
USR000027,2022-10-29,New York,mobile,returning
USR000028,2023-05-21,Kolkata,mobile,new
USR000029,2022-09-29,Mumbai,desktop,returning
USR000030,2022-05-08,Chennai,desktop,returning
USR000031,2023-03-23,Bangkok,desktop,returning
USR000032,2023-12-26,Bengaluru,desktop,new
USR000033,2023-07-22,New York,mobile,vip
USR000034,2022-01-17,Bangkok,desktop,returning
USR000035,2022-10-26,,desktop,returning
USR000036,2023-01-18,Jaipur,mobile,new
USR000037,2023-03-23,Delhi,mobile,returning
USR000038,2023-07-26,Delhi,tablet,returning
USR000039,2023-05-26,Singapore,desktop,returning
USR000040,2023-01-22,Delhi,mobile,new
USR000041,2023-09-19,Mumbai,mobile,new
USR000042,2023-09-29,Singapore,tablet,returning
USR000043,2022-12-08,Hyderabad,mobile,new
USR000044,2023-09-24,,mobile,new
USR000045,2022-12-30,Pune,desktop,new
USR000046,2023-01-14,Dubai,mobile,new
USR000047,2022-04-23,New York,mobile,returning
USR000048,2023-04-06,Delhi,mobile,returning
USR000049,2023-11-18,Jaipur,mobile,returning
USR000050,2022-09-18,London,mobile,returning
USR000051,2022-07-01,Delhi,desktop,returning
USR000052,2023-08-27,New York,tablet,vip
USR000053,2022-12-10,Bengaluru,mobile,new
USR000054,2023-10-13,,mobile,returning
USR000055,2022-06-15,Bangkok,mobile,new
USR000056,2023-03-07,Delhi,tablet,returning
USR000057,2022-03-29,Bangkok,mobile,returning
USR000058,2022-04-08,Bangkok,mobile,new
USR000059,2022-12-27,Delhi,desktop,vip
USR000060,2022-05-20,New York,mobile,new
USR000061,2023-06-19,Mumbai,desktop,vip
USR000062,2022-01-10,London,mobile,new
USR000063,2023-10-22,Pune,desktop,new
USR000064,2023-11-16,Dubai,mobile,new
USR000065,2022-02-23,Ahmedabad,mobile,returning
USR000066,2023-05-13,Kolkata,mobile,new
USR000067,2023-03-11,Pune,mobile,new
USR000068,2023-10-12,Kolkata,mobile,new
