notification_id,user_id,notification_type,sent_at,week_of
NOT0000001,USR01236,promotional,2024-09-24T17:30:00,2024-09-23
NOT0000002,USR04722,promotional,2024-09-25T09:42:00,2024-09-23
NOT0000003,USR03385,promotional,2024-09-27T16:23:00,2024-09-23
NOT0000004,USR04091,promotional,2024-09-26T20:33:00,2024-09-23
NOT0000005,USR04585,promotional,2024-09-25T11:58:00,2024-09-23
NOT0000006,USR01506,promotional,2024-09-25T10:40:00,2024-09-23
NOT0000007,USR03575,promotional,2024-09-28T09:45:00,2024-09-23
NOT0000008,USR01078,promotional,2024-09-29T15:19:00,2024-09-23
NOT0000009,USR01217,promotional,2024-09-23T19:19:00,2024-09-23
NOT0000010,USR03716,promotional,2024-09-24T17:45:00,2024-09-23
NOT0000011,USR03271,promotional,2024-09-25T10:24:00,2024-09-23
NOT0000012,USR04582,promotional,2024-09-24T20:17:00,2024-09-23
NOT0000013,USR01845,promotional,2024-09-26T16:41:00,2024-09-23
NOT0000014,USR03751,promotional,2024-09-24T16:41:00,2024-09-23
NOT0000015,USR03935,promotional,2024-09-26T18:50:00,2024-09-23
NOT0000016,USR04709,promotional,2024-09-29T12:39:00,2024-09-23
NOT0000017,USR04273,promotional,2024-09-29T11:00:00,2024-09-23
NOT0000018,USR02213,promotional,2024-09-25T10:53:00,2024-09-23
NOT0000019,USR02349,promotional,2024-09-28T19:29:00,2024-09-23
NOT0000020,USR00034,promotional,2024-09-29T13:52:00,2024-09-23
NOT0000021,USR02285,promotional,2024-09-29T20:12:00,2024-09-23
NOT0000022,USR04675,promotional,2024-09-28T12:00:00,2024-09-23
NOT0000023,USR01870,promotional,2024-09-24T13:39:00,2024-09-23
NOT0000024,USR01763,promotional,2024-09-27T10:23:00,2024-09-23
NOT0000025,USR03614,promotional,2024-09-27T17:53:00,2024-09-23
NOT0000026,USR00962,promotional,2024-09-28T15:33:00,2024-09-23
NOT0000027,USR03016,promotional,2024-09-25T13:14:00,2024-09-23
NOT0000028,USR01565,promotional,2024-09-28T16:58:00,2024-09-23
NOT0000029,USR01373,promotional,2024-09-23T13:40:00,2024-09-23
NOT0000030,USR00081,promotional,2024-09-24T18:01:00,2024-09-23
NOT0000031,USR01497,promotional,2024-09-23T09:34:00,2024-09-23
NOT0000032,USR00706,promotional,2024-09-29T19:50:00,2024-09-23
NOT0000033,USR00051,promotional,2024-09-24T18:05:00,2024-09-23
NOT0000034,USR00469,promotional,2024-09-23T19:19:00,2024-09-23
NOT0000035,USR00087,promotional,2024-09-26T14:23:00,2024-09-23
NOT0000036,USR03634,promotional,2024-09-26T17:50:00,2024-09-23
NOT0000037,USR02787,promotional,2024-09-24T10:54:00,2024-09-23
NOT0000038,USR02642,promotional,2024-09-24T13:32:00,2024-09-23
NOT0000039,USR01970,promotional,2024-09-28T20:18:00,2024-09-23
NOT0000040,USR01533,promotional,2024-09-23T14:13:00,2024-09-23
NOT0000041,USR01944,promotional,2024-09-25T21:40:00,2024-09-23
NOT0000042,USR03066,promotional,2024-09-25T14:01:00,2024-09-23
NOT0000043,USR03291,promotional,2024-09-24T12:35:00,2024-09-23
NOT0000044,USR00977,promotional,2024-09-27T19:34:00,2024-09-23
NOT0000045,USR03562,promotional,2024-09-23T15:05:00,2024-09-23
NOT0000046,USR01528,promotional,2024-09-26T19:05:00,2024-09-23
NOT0000047,USR03692,promotional,2024-09-25T19:32:00,2024-09-23
NOT0000048,USR03412,promotional,2024-09-29T21:01:00,2024-09-23
NOT0000049,USR03147,promotional,2024-09-24T21:53:00,2024-09-23
NOT0000050,USR00966,promotional,2024-09-26T10:19:00,2024-09-23
NOT0000051,USR02420,promotional,2024-09-24T14:21:00,2024-09-23
NOT0000052,USR01903,promotional,2024-09-24T17:19:00,2024-09-23
NOT0000053,USR02776,promotional,2024-09-29T17:52:00,2024-09-23
NOT0000054,USR02629,promotional,2024-09-24T21:58:00,2024-09-23
NOT0000055,USR04003,promotional,2024-09-28T21:52:00,2024-09-23
NOT0000056,USR03469,promotional,2024-09-26T11:03:00,2024-09-23
NOT0000057,USR01390,promotional,2024-09-29T11:12:00,2024-09-23
NOT0000058,USR03349,promotional,2024-09-24T21:09:00,2024-09-23
NOT0000059,USR04752,promotional,2024-09-24T16:03:00,2024-09-23
NOT0000060,USR02006,promotional,2024-09-27T13:15:00,2024-09-23
NOT0000061,USR00946,promotional,2024-09-26T20:18:00,2024-09-23
NOT0000062,USR00197,promotional,2024-09-24T15:22:00,2024-09-23
NOT0000063,USR02196,promotional,2024-09-27T14:39:00,2024-09-23
NOT0000064,USR01206,promotional,2024-09-25T14:35:00,2024-09-23
NOT0000065,USR00341,promotional,2024-09-24T12:46:00,2024-09-23
NOT0000066,USR04612,promotional,2024-09-24T10:01:00,2024-09-23
NOT0000067,USR03257,promotional,2024-09-23T17:22:00,2024-09-23
NOT0000068,USR04110,promotional,2024-09-25T20:34:00,2024-09-23
NOT0000069,USR04629,promotional,2024-09-23T14:47:00,2024-09-23
NOT0000070,USR04337,promotional,2024-09-29T10:16:00,2024-09-23
NOT0000071,USR01550,promotional,2024-09-28T17:33:00,2024-09-23
NOT0000072,USR04516,promotional,2024-09-24T16:14:00,2024-09-23
NOT0000073,USR03131,promotional,2024-09-28T21:53:00,2024-09-23
NOT0000074,USR01729,promotional,2024-09-27T09:37:00,2024-09-23
NOT0000075,USR03644,promotional,2024-09-25T19:17:00,2024-09-23
NOT0000076,USR03192,promotional,2024-09-23T17:55:00,2024-09-23
NOT0000077,USR04060,promotional,2024-09-29T10:46:00,2024-09-23
NOT0000078,USR01347,promotional,2024-09-29T11:18:00,2024-09-23
NOT0000079,USR04799,promotional,2024-09-23T15:09:00,2024-09-23
NOT0000080,USR00477,promotional,2024-09-28T13:26:00,2024-09-23
NOT0000081,USR00631,promotional,2024-09-24T12:22:00,2024-09-23
NOT0000082,USR01699,promotional,2024-09-26T12:50:00,2024-09-23
NOT0000083,USR04595,promotional,2024-09-24T16:03:00,2024-09-23
NOT0000084,USR01130,promotional,2024-09-29T21:20:00,2024-09-23
NOT0000085,USR02071,promotional,2024-09-25T21:52:00,2024-09-23
NOT0000086,USR04740,promotional,2024-09-28T15:12:00,2024-09-23
NOT0000087,USR01880,promotional,2024-09-28T17:07:00,2024-09-23
NOT0000088,USR01724,promotional,2024-09-23T19:22:00,2024-09-23
NOT0000089,USR02976,promotional,2024-09-26T19:07:00,2024-09-23
NOT0000090,USR03562,promotional,2024-09-23T20:28:00,2024-09-23
NOT0000091,USR01643,promotional,2024-09-27T11:09:00,2024-09-23
NOT0000092,USR04749,promotional,2024-09-28T19:59:00,2024-09-23
