user_id,user_type,city,first_order_date,first_restaurant_type
USR00001,returning,Bangalore,2023-01-26,new_restaurant
USR00002,returning,Bangalore,2023-05-23,new_restaurant
USR00003,new,Bangalore,2024-07-12,new_restaurant
USR00004,returning,Bangalore,2023-01-31,new_restaurant
USR00005,returning,Bangalore,2023-01-28,new_restaurant
USR00006,new,Bangalore,2024-07-12,new_restaurant
USR00007,returning,Bangalore,2023-10-12,established
USR00008,returning,Bangalore,2023-06-13,new_restaurant
USR00009,returning,Bangalore,2023-06-09,new_restaurant
USR00010,new,Bangalore,2023-04-15,new_restaurant
USR00011,returning,Bangalore,2023-12-19,new_restaurant
USR00012,new,Bangalore,2024-04-15,new_restaurant
USR00013,resurrected,Bangalore,2024-01-23,new_restaurant
USR00014,returning,Bangalore,2024-01-06,new_restaurant
USR00015,new,Bangalore,2023-02-16,new_restaurant
USR00016,new,Bangalore,2023-03-23,established
USR00017,new,Bangalore,2024-01-25,new_restaurant
USR00018,returning,Bangalore,2024-01-09,new_restaurant
USR00019,returning,Bangalore,2023-10-01,new_restaurant
USR00020,new,Bangalore,2023-03-15,new_restaurant
USR00021,returning,Bangalore,2023-09-08,new_restaurant
USR00022,returning,Bangalore,2024-07-24,new_restaurant
USR00023,returning,Bangalore,2023-02-27,new_restaurant
USR00024,returning,Bangalore,2023-11-20,new_restaurant
USR00025,returning,Bangalore,2024-08-03,established
USR00026,returning,Bangalore,2024-05-26,new_restaurant
USR00027,resurrected,Bangalore,2024-04-14,new_restaurant
USR00028,returning,Bangalore,2024-07-28,new_restaurant
USR00029,new,Bangalore,2024-03-14,established
USR00030,returning,Bangalore,2023-08-13,established
USR00031,returning,Bangalore,2024-05-20,new_restaurant
USR00032,returning,Bangalore,2023-04-23,new_restaurant
USR00033,returning,Bangalore,2024-03-08,new_restaurant
USR00034,returning,Bangalore,2024-04-24,new_restaurant
USR00035,resurrected,Bangalore,2023-01-12,new_restaurant
USR00036,returning,Bangalore,2024-07-03,new_restaurant
USR00037,new,Bangalore,2023-12-15,new_restaurant
USR00038,returning,Bangalore,2024-04-09,new_restaurant
USR00039,new,Bangalore,2023-09-27,established
USR00040,new,Bangalore,2024-06-03,established
USR00041,new,Bangalore,2023-11-02,established
USR00042,returning,Bangalore,2023-07-23,new_restaurant
USR00043,new,Bangalore,2024-07-06,established
USR00044,resurrected,Bangalore,2023-01-01,new_restaurant
USR00045,returning,Bangalore,2023-04-25,established
USR00046,new,Bangalore,2023-11-11,new_restaurant
USR00047,returning,Bangalore,2024-08-03,established
USR00048,returning,Bangalore,2024-05-12,established
USR00049,resurrected,Bangalore,2024-06-29,new_restaurant
USR00050,returning,Bangalore,2024-05-01,established
USR00051,returning,Bangalore,2024-06-24,established
USR00052,returning,Bangalore,2023-08-05,established
